year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1935,12,26,-9.62,44,42.14,-15.32,-2.6,13.51,-9.65,46.6,43.91
1957,9,2,17.71,39,48.35,1.75,1.6,33.09,-6.58,37.4,37.8
1957,9,3,16.86,36,48.74,2.06,1.6,33.36,-3.84,34.4,34.02
1957,9,6,16.55,35,46.34,2.36,2.1,31.16,-3.1,32.9,32.48
1957,9,11,19.75,37,44.58,1.43,1.9,31.93,-3.39,35.1,34.37
1957,9,18,15.21,37,46.54,2.42,1.7,29.62,-4.81,35.3,34.52
1959,1,5,-15.82,44,42.64,-16.98,1.1,13.01,-11.78,42.9,42.78
1961,11,6,0.98,-2,42.61,-9.87,-3,20.3,-5.83,1,39
1963,8,25,23.44,36,44.18,1.61,1,34.61,-2.8,35,34.2
1970,7,10,23.78,39.5,48.25,4.66,2,34.63,-3.14,37.5,35.88
1970,8,11,19.32,32.2,48.64,5.53,2.8,32.88,-3.4,29.4,32.96
1976,11,13,-3.46,-4,43.77,-14.96,-5,21.83,-5.08,1,38.52
1979,9,15,14.16,13.1,49.08,0.98,11,30.45,-4.61,2.1,36.42
1979,9,16,15.87,14.2,48.33,0.35,11,30.33,-3.31,3.2,36.83
1980,4,12,4.93,4.9,46.94,-7.18,0,23.23,-2.07,4.9,38.03
1983,4,7,1.68,1.5,48.11,-9.17,-0.5,24.59,-4.57,2,38.8
1984,7,3,18.05,37.1,52.62,3.8,2.9,35.1,-3.21,34.2,34.97
