year,month,day,prcp,tmax,tmin
1959,1,1,-99.9,-99.9,-99.9
1959,1,2,-99.9,-99.9,-99.9
1959,1,3,-99.9,-99.9,-99.9
1959,1,4,-99.9,-99.9,-99.9
1959,1,5,-99.9,-99.9,-99.9
1959,1,6,-99.9,-99.9,-99.9
1959,1,7,-99.9,-99.9,-99.9
1959,1,8,-99.9,-99.9,-99.9
1959,1,9,-99.9,-99.9,-99.9
1959,1,10,-99.9,-99.9,-99.9
1959,1,11,-99.9,-99.9,-99.9
1959,1,12,-99.9,-99.9,-99.9
1959,1,13,-99.9,-99.9,-99.9
1959,1,14,-99.9,-99.9,-99.9
1959,1,15,-99.9,-99.9,-99.9
1959,1,16,-99.9,-99.9,-99.9
1959,1,17,-99.9,-99.9,-99.9
1959,1,18,-99.9,-99.9,-99.9
1959,1,19,-99.9,-99.9,-99.9
1959,1,20,-99.9,-99.9,-99.9
1959,1,21,-99.9,-99.9,-99.9
1959,1,22,-99.9,-99.9,-99.9
1959,1,23,-99.9,-99.9,-99.9
1959,1,24,-99.9,-99.9,-99.9
1959,1,25,-99.9,-99.9,-99.9
1959,1,26,-99.9,-99.9,-99.9
1959,1,27,-99.9,-99.9,-99.9
1959,1,28,-99.9,-99.9,-99.9
1959,1,29,-99.9,-99.9,-99.9
1959,1,30,-99.9,-99.9,-99.9
1959,1,31,-99.9,-99.9,-99.9
1959,2,1,-99.9,-99.9,-99.9
1959,2,2,-99.9,-99.9,-99.9
1959,2,3,-99.9,-99.9,-99.9
1959,2,4,-99.9,-99.9,-99.9
1959,2,5,-99.9,-99.9,-99.9
1959,2,6,-99.9,-99.9,-99.9
1959,2,7,-99.9,-99.9,-99.9
1959,2,8,-99.9,-99.9,-99.9
1959,2,9,-99.9,-99.9,-99.9
1959,2,10,-99.9,-99.9,-99.9
1959,2,11,-99.9,-99.9,-99.9
1959,2,12,-99.9,-99.9,-99.9
1959,2,13,-99.9,-99.9,-99.9
1959,2,14,-99.9,-99.9,-99.9
1959,2,15,-99.9,-99.9,-99.9
1959,2,16,-99.9,-99.9,-99.9
1959,2,17,-99.9,-99.9,-99.9
1959,2,18,-99.9,-99.9,-99.9
1959,2,19,-99.9,-99.9,-99.9
1959,2,20,-99.9,-99.9,-99.9
1959,2,21,-99.9,-99.9,-99.9
1959,2,22,-99.9,-99.9,-99.9
1959,2,23,-99.9,-99.9,-99.9
1959,2,24,-99.9,-99.9,-99.9
1959,2,25,-99.9,-99.9,-99.9
1959,2,26,-99.9,-99.9,-99.9
1959,2,27,-99.9,-99.9,-99.9
1959,2,28,-99.9,-99.9,-99.9
1959,3,1,-99.9,-99.9,-99.9
1959,3,2,-99.9,-99.9,-99.9
1959,3,3,-99.9,-99.9,-99.9
1959,3,4,-99.9,-99.9,-99.9
1959,3,5,-99.9,-99.9,-99.9
1959,3,6,-99.9,-99.9,-99.9
1959,3,7,-99.9,-99.9,-99.9
1959,3,8,-99.9,-99.9,-99.9
1959,3,9,-99.9,-99.9,-99.9
1959,3,10,-99.9,-99.9,-99.9
1959,3,11,-99.9,-99.9,-99.9
1959,3,12,-99.9,-99.9,-99.9
1959,3,13,-99.9,-99.9,-99.9
1959,3,14,-99.9,-99.9,-99.9
1959,3,15,-99.9,-99.9,-99.9
1959,3,16,-99.9,-99.9,-99.9
1959,3,17,-99.9,-99.9,-99.9
1959,3,18,-99.9,-99.9,-99.9
1959,3,19,-99.9,-99.9,-99.9
1959,3,20,-99.9,-99.9,-99.9
1959,3,21,-99.9,-99.9,-99.9
1959,3,22,-99.9,-99.9,-99.9
1959,3,23,-99.9,-99.9,-99.9
1959,3,24,-99.9,-99.9,-99.9
1959,3,25,-99.9,-99.9,-99.9
1959,3,26,-99.9,-99.9,-99.9
1959,3,27,-99.9,-99.9,-99.9
1959,3,28,-99.9,-99.9,-99.9
1959,3,29,-99.9,-99.9,-99.9
1959,3,30,-99.9,-99.9,-99.9
1959,3,31,-99.9,-99.9,-99.9
1959,4,1,-99.9,-99.9,-99.9
1959,4,2,-99.9,-99.9,-99.9
1959,4,3,-99.9,-99.9,-99.9
1959,4,4,-99.9,-99.9,-99.9
1959,4,5,-99.9,-99.9,-99.9
1959,4,6,-99.9,-99.9,-99.9
1959,4,7,-99.9,-99.9,-99.9
1959,4,8,-99.9,-99.9,-99.9
1959,4,9,-99.9,-99.9,-99.9
1959,4,10,-99.9,-99.9,-99.9
1959,4,11,-99.9,-99.9,-99.9
1959,4,12,-99.9,-99.9,-99.9
1959,4,13,-99.9,-99.9,-99.9
1959,4,14,-99.9,-99.9,-99.9
1959,4,15,-99.9,-99.9,-99.9
1959,4,16,-99.9,-99.9,-99.9
1959,4,17,-99.9,-99.9,-99.9
1959,4,18,-99.9,-99.9,-99.9
1959,4,19,-99.9,-99.9,-99.9
1959,4,20,-99.9,-99.9,-99.9
1959,4,21,-99.9,-99.9,-99.9
1959,4,22,-99.9,-99.9,-99.9
1959,4,23,-99.9,-99.9,-99.9
1959,4,24,-99.9,-99.9,-99.9
1959,4,25,-99.9,-99.9,-99.9
1959,4,26,-99.9,-99.9,-99.9
1959,4,27,-99.9,-99.9,-99.9
1959,4,28,-99.9,-99.9,-99.9
1959,4,29,-99.9,-99.9,-99.9
1959,4,30,-99.9,-99.9,-99.9
1959,5,1,-99.9,-99.9,-99.9
1959,5,2,-99.9,-99.9,-99.9
1959,5,3,-99.9,-99.9,-99.9
1959,5,4,-99.9,-99.9,-99.9
1959,5,5,-99.9,-99.9,-99.9
1959,5,6,-99.9,-99.9,-99.9
1959,5,7,-99.9,-99.9,-99.9
1959,5,8,-99.9,-99.9,-99.9
1959,5,9,-99.9,-99.9,-99.9
1959,5,10,-99.9,-99.9,-99.9
1959,5,11,-99.9,-99.9,-99.9
1959,5,12,-99.9,-99.9,-99.9
1959,5,13,-99.9,-99.9,-99.9
1959,5,14,-99.9,-99.9,-99.9
1959,5,15,-99.9,-99.9,-99.9
1959,5,16,-99.9,-99.9,-99.9
1959,5,17,-99.9,-99.9,-99.9
1959,5,18,-99.9,-99.9,-99.9
1959,5,19,-99.9,-99.9,-99.9
1959,5,20,-99.9,-99.9,-99.9
1959,5,21,-99.9,-99.9,-99.9
1959,5,22,-99.9,-99.9,-99.9
1959,5,23,-99.9,-99.9,-99.9
1959,5,24,-99.9,-99.9,-99.9
1959,5,25,-99.9,-99.9,-99.9
1959,5,26,-99.9,-99.9,-99.9
1959,5,27,-99.9,-99.9,-99.9
1959,5,28,-99.9,-99.9,-99.9
1959,5,29,-99.9,-99.9,-99.9
1959,5,30,-99.9,-99.9,-99.9
1959,5,31,-99.9,-99.9,-99.9
1959,6,1,-99.9,-99.9,-99.9
1959,6,2,-99.9,-99.9,-99.9
1959,6,3,-99.9,-99.9,-99.9
1959,6,4,-99.9,-99.9,-99.9
1959,6,5,-99.9,-99.9,-99.9
1959,6,6,-99.9,-99.9,-99.9
1959,6,7,-99.9,-99.9,-99.9
1959,6,8,-99.9,-99.9,-99.9
1959,6,9,-99.9,-99.9,-99.9
1959,6,10,-99.9,-99.9,-99.9
1959,6,11,-99.9,-99.9,-99.9
1959,6,12,-99.9,-99.9,-99.9
1959,6,13,-99.9,-99.9,-99.9
1959,6,14,-99.9,-99.9,-99.9
1959,6,15,-99.9,-99.9,-99.9
1959,6,16,-99.9,-99.9,-99.9
1959,6,17,-99.9,-99.9,-99.9
1959,6,18,-99.9,-99.9,-99.9
1959,6,19,-99.9,-99.9,-99.9
