year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1924,5,26,21.02,18,54.58,5.58,9,33,-0.96,9,37.98
1924,6,4,19.04,19,57.19,8.24,9,33.63,-1.72,10,36.08
1924,6,6,18.41,15,58.26,4.96,3,37.03,-4.08,12,38.76
1924,6,14,27.74,36,52.29,11.54,11,33.54,2.99,25,31.96
1924,6,15,18.92,19,60.09,10.47,9,34.59,-1.59,10,35.54
1924,6,18,19.85,17,59.44,7.98,5,37.21,1.19,12,32.93
1924,6,22,21.01,17,59.33,9.56,5,36.98,2.51,12,31.29
1924,6,25,21.92,18,58.44,11.13,9,35.73,2.15,9,31.35
1924,6,27,27.4,31,54.21,10.13,5,37.22,2.67,26,31.6
1924,6,28,28.39,42,53.87,8.15,3,39.17,-3.07,39,38.01
1924,7,5,21.65,42,56.81,10.14,5,36.29,-4.79,37,36.83
1924,7,8,23.22,31,54.73,10.21,5,36.44,-1.08,26,32.38
1924,7,13,22.69,31,56.11,11.47,9,35.46,-2.45,22,34.32
1924,7,14,25.28,42,54.38,9.85,5,36.51,-3.42,37,36.72
1924,7,15,23.06,25,55.97,9.04,3,37.95,-0.3,22,32.34
1924,7,16,24.65,37,55.09,12.15,10,35.04,-1.32,27,33.56
1924,7,19,20.18,19,58.49,10.15,5,36.85,-1.64,14,33.31
1924,7,20,21.56,33,57.24,12.02,9,35.03,-3.09,24,34.84
1924,7,22,23.62,40,56.09,12.05,12,34.99,-2.9,28,35.56
1924,7,27,24.67,41,54.37,9.51,4,37.06,-4.27,37,36.75
1924,7,29,20.29,17,58.1,11.55,9,35.16,0.12,8,31.57
1924,7,30,23.35,33,55.87,10.49,5,35.99,-1.27,28,34
1924,8,2,24.7,42,54.41,9.57,5,36.72,-3.2,37,36.02
1924,8,5,19.07,18,58.5,10.8,12,35.17,-1.74,6,33.29
1924,8,8,22.13,31,55.95,11.14,6,35.38,-1.31,25,32.85
1924,8,11,20.43,42,57.06,9.99,5,36.05,-6.97,37,38.42
1924,8,18,20.47,36,57.08,9.11,3,36.5,-4.44,33,36.38
1924,8,19,21.3,33,55.49,9.78,6,36.19,-4.04,27,34.86
1924,8,21,23.99,42,53.94,9.88,7,34.89,-3.2,35,36.36
1924,8,25,18.62,37,56.53,11.17,9,33.98,-6.21,28,36.2
1924,8,27,22.87,42,52.76,12.38,12,32.11,-2.59,30,33.73
1924,8,29,21.26,31,54.61,9,5,34.92,-3.84,26,35.79
1924,9,1,14.38,14,60.36,10.83,8,33.44,-4.94,6,35.41
1924,9,2,18.84,18,55.47,7.33,1,36.48,-1.41,17,31.92
1924,9,3,16.46,11,57.57,8.46,3,35.3,-2.59,8,32.88
1924,9,4,21.38,44,53.24,8.31,4,34.61,-6.81,40,38.51
1924,9,6,17.9,37,55.61,12.27,12,31.04,-6.21,25,36.4
1924,9,8,18.47,31,54.79,9.05,6,33.67,-4.74,25,35.28
1924,9,10,19.69,21,53.12,8.18,5,34.66,-2.8,16,32.77
1924,9,13,18.17,28,53.98,5.78,3,36.25,-5.06,25,35.18
1924,9,14,19.39,37,52.35,7.53,7,34.04,-5.3,30,35.46
1924,9,20,13.91,16,57,5.26,5,35.59,-4.02,11,34.08
1924,9,21,14.48,25,55.03,5.53,4,34.68,-7.88,21,37.17
1924,10,8,10.9,15,54.67,1.27,0,31.11,-4.01,15,37.19
1924,10,12,11.17,10,53.7,0.91,6,31.33,-4.95,4,37.59
1925,7,2,23.96,37,55.35,8.11,2,38.6,-1.91,35,34.49
1925,9,29,18.51,42,50.18,2.69,6,32.85,-2.52,36,35.67
1926,5,13,21.36,49,52.35,5.17,10,29.47,0.52,39,38.55
1926,5,21,18.94,17,54.46,0.44,7,35.52,0.76,10,36.68
1926,5,22,19.89,19,53.55,2.56,3,34.35,3.4,16,33.13
1926,5,23,17.78,15,55.84,4.16,2,33.09,2.13,13,34.24
1926,5,28,16.35,15,58.34,1.76,2,36.76,0.17,13,35.99
1926,6,1,23.87,36,53.66,5.07,4,34.88,-0.22,32,37.83
1927,1,5,-4.21,40,41.25,-13.92,-3,15.59,-7.59,43,42.95
1927,1,17,-3.71,41,42.33,-10.36,-2.5,13.44,-6.77,43.5,42.56
1927,12,7,1.97,37.5,40.12,-9.94,-4,17.14,-6.54,41.5,41.42
1928,4,9,9.11,7,52.43,-5.3,1,27.84,0.85,6,38.15
1928,4,28,18.73,29,48.39,2.32,2,28.52,0.88,27,35.39
1928,5,9,20.62,46,51.28,4.02,8,28.72,3.01,38,36.16
1930,1,26,0.47,36,41.87,-8.29,-7,13.33,-3.5,43,40.8
1970,9,28,14.16,14,53.83,0.43,9,35.44,-5.62,5,37.75
1972,6,7,23.19,23,55.5,11.07,21,33.01,-2.87,2,37.49
1981,8,13,18.37,32,58.03,11.16,11,33.68,-4.38,21,35.94
1982,4,22,16.11,15,49.98,0.08,10,27.41,1.4,5,37.2
