 ,month,day,prcp,tmax,tmin
1963,1,1,-99.9,-99.9,-99.9
1963,1,2,-99.9,-99.9,-99.9
1963,1,3,-99.9,-99.9,-99.9
1963,1,4,-99.9,-99.9,-99.9
1963,1,5,-99.9,-99.9,-99.9
1963,1,6,-99.9,-99.9,-99.9
1963,1,7,-99.9,-99.9,-99.9
1963,1,8,-99.9,-99.9,-99.9
1963,1,9,-99.9,-99.9,-99.9
1963,1,10,-99.9,-99.9,-99.9
1963,1,11,-99.9,-99.9,-99.9
1963,1,12,-99.9,-99.9,-99.9
1963,1,13,-99.9,-99.9,-99.9
1963,1,14,-99.9,-99.9,-99.9
1963,1,15,-99.9,-99.9,-99.9
1963,1,16,-99.9,-99.9,-99.9
1963,1,17,-99.9,-99.9,-99.9
1963,1,18,-99.9,-99.9,-99.9
1963,1,19,-99.9,-99.9,-99.9
1963,1,20,-99.9,-99.9,-99.9
1963,1,21,-99.9,-99.9,-99.9
1963,1,22,-99.9,-99.9,-99.9
1963,1,23,-99.9,-99.9,-99.9
1963,1,24,-99.9,-99.9,-99.9
1963,1,25,-99.9,-99.9,-99.9
1963,1,26,-99.9,-99.9,-99.9
1963,1,27,-99.9,-99.9,-99.9
1963,1,28,-99.9,-99.9,-99.9
1963,1,29,-99.9,-99.9,-99.9
1963,1,30,-99.9,-99.9,-99.9
1963,1,31,-99.9,-99.9,-99.9
1963,2,1,-99.9,-99.9,-99.9
1963,2,2,-99.9,-99.9,-99.9
1963,2,3,-99.9,-99.9,-99.9
1963,2,4,-99.9,-99.9,-99.9
1963,2,5,-99.9,-99.9,-99.9
1963,2,6,-99.9,-99.9,-99.9
1963,2,7,-99.9,-99.9,-99.9
1963,2,8,-99.9,-99.9,-99.9
1963,2,9,-99.9,-99.9,-99.9
1963,2,10,-99.9,-99.9,-99.9
1963,2,11,-99.9,-99.9,-99.9
1963,2,12,-99.9,-99.9,-99.9
1963,2,13,-99.9,-99.9,-99.9
1963,2,14,-99.9,-99.9,-99.9
1963,2,15,-99.9,-99.9,-99.9
1963,2,16,-99.9,-99.9,-99.9
1963,2,17,-99.9,-99.9,-99.9
1963,2,18,-99.9,-99.9,-99.9
1963,2,19,-99.9,-99.9,-99.9
1963,2,20,-99.9,-99.9,-99.9
1963,2,21,-99.9,-99.9,-99.9
1963,2,22,-99.9,-99.9,-99.9
1963,2,23,-99.9,-99.9,-99.9
1963,2,24,-99.9,-99.9,-99.9
1963,2,25,-99.9,-99.9,-99.9
1963,2,26,-99.9,-99.9,-99.9
1963,2,27,-99.9,-99.9,-99.9
1963,2,28,-99.9,-99.9,-99.9
1963,3,1,-99.9,-99.9,-99.9
1963,3,2,-99.9,-99.9,-99.9
1963,3,3,-99.9,-99.9,-99.9
1963,3,4,-99.9,-99.9,-99.9
1963,3,5,-99.9,-99.9,-99.9
1963,3,6,-99.9,-99.9,-99.9
1963,3,7,-99.9,-99.9,-99.9
1963,3,8,-99.9,-99.9,-99.9
1963,3,9,-99.9,-99.9,-99.9
1963,3,10,-99.9,-99.9,-99.9
1963,3,11,-99.9,-99.9,-99.9
1963,3,12,-99.9,-99.9,-99.9
1963,3,13,-99.9,-99.9,-99.9
1963,3,14,-99.9,-99.9,-99.9
1963,3,15,-99.9,-99.9,-99.9
1963,3,16,-99.9,-99.9,-99.9
1963,3,17,-99.9,-99.9,-99.9
1963,3,18,-99.9,-99.9,-99.9
1963,3,19,-99.9,-99.9,-99.9
1963,3,20,-99.9,-99.9,-99.9
1963,3,21,-99.9,-99.9,-99.9
1963,3,22,-99.9,-99.9,-99.9
1963,3,23,-99.9,-99.9,-99.9
1963,3,24,-99.9,-99.9,-99.9
1963,3,25,-99.9,-99.9,-99.9
1963,3,26,-99.9,-99.9,-99.9
1963,3,27,-99.9,-99.9,-99.9
1963,3,28,-99.9,-99.9,-99.9
1963,3,29,-99.9,-99.9,-99.9
1963,3,30,-99.9,-99.9,-99.9
1963,3,31,-99.9,-99.9,-99.9
1963,4,1,0,34,20
1963,4,2,0,35,22
1963,4,3,1,27,16.5
1963,4,4,0,25,14
1963,4,5,0,27,10
1963,4,6,0,29,7
1963,4,7,0,34,7
1963,4,8,0,36,11
1963,4,9,0,35,13
1963,4,10,0,35,12
1963,4,11,0,33,15
1963,4,12,0,28,14
1963,4,13,0,33,19
1963,4,14,0,37,18
1963,4,15,0,37,16
1963,4,16,0,36,11
1963,4,17,0,36,16
1963,4,18,0,35,21
1963,4,19,0,30,11
1963,4,20,0,33,8
1963,4,21,0,35,8
1963,4,22,0,33,13
1963,4,23,0,33,16
1963,4,24,0,32,15
1963,4,25,0,35,11
1963,4,26,0,35,11
1963,4,27,0,34,18
1963,4,28,0,33,12
1963,4,29,0,31,10
1963,4,30,0,31,15
1963,5,1,18,30,19
1963,5,2,0,32,13
1963,5,3,0,36,11
1963,5,4,0,36,15
1963,5,5,0,28,15
1963,5,6,0,30,17
1963,5,7,0,29,18
1963,5,8,0,34,15
1963,5,9,0,37,13
1963,5,10,0,39,20
1963,5,11,7,40,20
1963,5,12,0,37,21
1963,5,13,0,38,21
1963,5,14,0,38,21
1963,5,15,0,39,24
1963,5,16,1.5,37,20
1963,5,17,3,36,18
1963,5,18,0,33,20
1963,5,19,0,32,20
1963,5,20,2.5,33,21
1963,5,21,0,35,17
1963,5,22,0,31,18
1963,5,23,0,32,18
1963,5,24,0,37,19
1963,5,25,0,37,20
1963,5,26,0,38,18
1963,5,27,0,39,17
1963,5,28,0,37,20
1963,5,29,0,38,22
1963,5,30,0,38,21
1963,5,31,0,39,22
1963,6,1,0,38.5,23.5
1963,6,2,0,37,21.5
1963,6,3,0,37,20
1963,6,4,0,39,23
1963,6,5,0,40,21
1963,6,6,0,39,21
1963,6,7,0,38,21
1963,6,8,0,37,26
1963,6,9,0,38,18
1963,6,10,0,37,18
1963,6,11,0,33,18
1963,6,12,22,32,24
1963,6,13,0,32,20
