year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1966,2,23,5.54,5.5,41.96,-11.8,0.5,18.87,0.88,5,39.54
1970,9,27,8.75,8.5,53.47,1.77,6.5,29.92,-6.79,2,37.33
1973,7,27,20.44,29,48.79,8.1,7,32.17,0.55,22,28.4
1973,7,28,21.5,27,48.23,8.86,8,32.22,0.52,19,28.13
1973,7,29,20.94,28,48.49,7.9,6,32.74,1.59,22,27.21
1973,7,30,22.07,29,48.1,8.93,7,31.48,2.68,22,27.08
1973,7,31,21.03,26,49.49,8.55,6.9,31.69,2.29,19.1,27.98
1973,8,1,20.71,29,50.03,7.44,6,33.46,-0.58,23,30.42
1973,8,3,19.11,29.5,51.55,8.13,7,32.66,0.48,22.5,29.39
1973,8,4,22.51,29,49,8,7,33.08,3.79,22,26.63
1973,8,5,20.2,30,50.97,7.6,6.5,33.54,0.5,23.5,29.54
1973,8,6,22.72,31,48.82,7.34,7,32.95,4.38,24,26.86
1973,8,9,20.4,30,51.23,9.11,9,32.6,1.87,21,28.06
1973,8,10,23.46,30,46.66,9.4,8.5,31.8,3.14,21.5,25.77
1973,8,11,22.02,29,47.18,10.11,9.5,30.86,-0.11,19.5,28.33
1973,8,12,23.17,30,46.92,9.58,8,31.04,1.08,22,28.38
1973,8,13,24.16,31,47.09,8.87,7,31.76,1.83,24,28.79
1973,8,14,21.49,32,48.99,11.05,9.5,28.89,1.25,22.5,29.29
1973,8,16,18.83,33,50.22,10.55,10,29.85,-2.46,23,31.11
1973,8,30,15.44,34,50.23,9.67,9,28.86,-4.94,25,32.08
1973,9,2,21.58,34,45.98,8.26,7,30.52,0.36,27,28.42
1973,9,3,18.86,34.5,48.03,7.72,7.5,31.19,-2.99,27,30.98
1973,9,4,19.06,35.5,46.75,8.51,7.9,29.85,-3.18,27.6,30.63
1973,9,5,15.97,33,49.25,9.52,8,29.02,-4.45,25,31.13
1973,9,6,17.32,30,48.42,6.97,6,30.98,-1.6,24,29.4
1979,6,10,25.39,25,51.45,5.59,22,33.11,0.14,3,38
1982,4,22,13.97,13,52,0.24,9.5,24.04,-0.58,3.5,42.28
