year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1965, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, 8.38, 3.61, -99.9
1966, -0.42, 1, 7.42, 10.53, 15.29, 19.6, 20.48, 18.92, 16.57, 9.87, 5.9, -0.52, 10.43
1967, -0.21, 3.59, 8.58, 12.87, 14.19, 19.07, 19.45, 17.61, 15.63, 9.37, 6.13, 1.65, 10.69
1968, 2.16, 4.31, 5.92, 9.77, 13.97, 18.38, 18.1, 18.19, 15.2, 11.15, 3.43, 0.53, 10.11
1969, -99.9, 4.57, 3.44, 12.75, 13.81, 17.17, 17.67, 17.42, 16.47, 12.65, 4.47, 0.57, -99.9
1970, -0.1, 2.19, 4.42, 9.33, 15.87, 17.2, 19.1, 18.13, 13.83, 5.77, 1.47, 2.03, 9.15
1971, 1.9, 3.11, 5.74, 10.07, 14.52, 17.4, 19.39, 17.95, 16.63, 13.07, 8.85, 5.1, 11.19
1972, 4.42, 4.93, 9.52, 11.37, 15.23, 18.97, 19.58, 18.55, 17.98, 14.05, 4.78, 3.1, 11.89
1973, 0.4, 4.8, 6.19, 9.03, 14.18, 18.48, 19.85, 17.9, 17.1, 10.47, 5.78, 0.37, 10.4
1974, 3.19, 1.62, 9.15, 11.63, 16.23, 18.77, 19.52, 18.93, 15.9, 11.35, 5.48, 2, 11.21
1975, 1, 3.8, 6.97, 10.47, 13.81, 19.22, 19.11, 18.47, 14.93, 10.98, 4.75, 2, 10.49
1976, 0.28, 4.45, 7.74, 9.67, 13.21, 19.28, 18.66, 18.23, 16.78, 9.74, 4.95, 1.95, 10.42
1977, 2.95, 3.23, 5.15, 8.87, 13.56, 17.75, 18.05, 18.92, 17.32, 12.68, 4.42, 2.39, 10.48
1978, 0.23, 1.07, 7.24, 11.32, 14.68, 19.4, 20.73, 19.11, 17.23, 12.48, 7.75, 2.45, 11.19
1979, 1.69, 5.32, 7.42, 12.22, 14.6, 18.7, 21.23, 18.74, 13.77, 9.48, 3.2, 1.79, 10.7
1980, 2.66, 4.33, -99.9, 9.13, 13.69, 20.52, 20.81, 19.74, 17.57, 10.63, 4.05, 2.81, -99.9
1981, 4.24, 4.75, 6.15, 9.95, 14.69, 18.72, 19.63, 18.5, 16.38, 13.1, 4.28, 2.52, 11.11
1982, 2.56, 4.95, 8.03, 11.15, 13.82, 19, 19.4, 18.94, 17.5, 10.95, 4.37, 1.97, 11.08
1983, 1.15, 2.7, 5.79, 7.68, 12.87, 18.43, 20.48, 19.05, 18.05, -99.9, 6, 2.13, -99.9
1984, 1.61, 2.19, 6.74, 10.02, 15.73, 18.42, 17.92, 18.31, 15.9, 10.84, 4.17, 5.77, 10.66
1985, 0.11, 2.04, 8.85, 10.7, 16.45, 18.3, 17.97, 18.6, 16.78, 10.97, 6.5, 1.16, 10.75
1986, 0.68, 4.02, 7.18, 11.95, 14.71, 19.43, 19.13, 19.44, 17.43, 12.24, 6.53, 3.05, 11.35
1987, 1, 2.21, 3.85, 9.52, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1988, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1989, -99.9, 5.65, 7.57, 12.12, 14.47, 18.5, 20.16, 19.76, 16.5, 11.87, 5.75, -99.9, -99.9
1990, -99.9, -99.9, 8.55, 11.75, 16.05, 20.72, 19.55, -99.9, -99.9, 11.19, 6.72, -99.9, -99.9
1991, -99.9, -99.9, 6.95, 9.8, 15.13, 17.38, 17.98, 18.13, 15.23, 9.92, -99.9, -99.9, -99.9
1992, -99.9, 4.63, 5.97, 10.05, 13.76, 17.58, 19.23, 18.08, 16.05, 10.95, -99.9, -99.9, -99.9
1993, 6.1, 6.38, 6.27, 9.98, 14.1, 18.67, 19.89, 19.16, 15.98, 10.08, 6.65, -99.9, -99.9
1994, -99.9, 6.64, 7.92, 10.17, 15.02, 19.9, 20.24, 19.59, -99.9, -99.9, -99.9, -99.9, -99.9
1995, -99.9, -99.9, -99.9, -99.9, -99.9, 18.47, 19.32, 19.61, 17.2, 10.55, 6.02, -99.9, -99.9
1996, -99.9, 7.09, 6.34, 10.53, 16.31, 19.75, 19.85, 18.32, 15.42, 10.81, 6.41, -99.9, -99.9
1997, -99.9, 5.27, 9.05, 9.38, 15.47, 19.08, 19.26, 18.97, 17.53, 10.21, 5.43, -99.9, -99.9
1998, -99.9, -99.9, 6.73, 10.08, 15.23, 19.62, 20.19, 19.11, 17.53, 13.65, 7.7, -99.9, -99.9
1999, -99.9, 4.93, 6.26, 10.9, 14.42, 18.43, 18.89, 19.06, 17.44, 9.6, -99.9, -99.9, -99.9
