TITLE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRCP,1965,31,28,31,30,31,30,31,31,30,6,0,0,279
TMAX,1965,31,28,31,30,31,30,31,31,30,6,0,0,279
TMIN,1965,31,28,31,30,31,30,31,31,30,7,0,0,280
PRCP,1966,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1966,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1966,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1967,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1968,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1968,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1968,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1969,31,0,0,0,0,0,1,0,0,0,0,0,32
TMAX,1969,31,0,0,0,0,0,0,0,0,0,0,0,31
TMIN,1969,31,0,0,0,0,0,1,0,0,0,0,1,33
PRCP,1970,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1970,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1970,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1971,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1971,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1971,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1973,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1973,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1973,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1974,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1974,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1974,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1975,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1975,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1975,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1976,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1976,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1976,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1977,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1977,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1977,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1978,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1978,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1978,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1979,0,0,0,0,1,0,0,0,0,0,0,0,1
TMAX,1979,0,0,0,0,1,0,0,0,0,0,0,0,1
TMIN,1979,0,0,0,0,1,0,0,0,0,0,0,0,1
PRCP,1980,0,0,31,0,0,0,0,0,0,0,0,0,31
TMAX,1980,0,0,31,0,0,0,0,0,0,0,0,0,31
TMIN,1980,0,0,31,0,0,0,0,0,0,0,0,0,31
PRCP,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1982,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1982,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1982,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1983,0,0,0,0,0,0,0,0,0,31,0,0,31
TMAX,1983,0,0,0,0,0,0,0,0,0,31,0,0,31
TMIN,1983,0,0,0,0,0,0,0,0,0,31,0,0,31
PRCP,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
PRCP,1985,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1985,0,0,0,0,0,0,0,0,0,0,0,0,0
