year,month,day,prcp,tmax,tmin
1983,1,1,0,12,-0.5
1983,1,2,0,12,-1
1983,1,3,0,16,-3.5
1983,1,4,0,19.5,-2
1983,1,5,0,21.5,-1
1983,1,6,0,22.5,1
1983,1,7,0,24,3
1983,1,8,0,23.5,2.5
1983,1,9,0,22,1.5
1983,1,10,0,23,3
1983,1,11,0,20.5,3
1983,1,12,0,21.5,4
1983,1,13,0,21.5,6.5
1983,1,14,0,12.6,6.5
1983,1,15,0,10,6.5
1983,1,16,0,18.5,7
1983,1,17,0,22,7.5
1983,1,18,0,24,6
1983,1,19,0,23.5,6
1983,1,20,3,14.5,6
1983,1,21,0,15.5,0.5
1983,1,22,0,19,-2
1983,1,23,0,21,-0.5
1983,1,24,0,25,1.5
1983,1,25,0,23,3
1983,1,26,0,24,3
1983,1,27,0,29.5,3
1983,1,28,0,26.5,7.5
1983,1,29,0,21,6
1983,1,30,0,18,7
1983,1,31,0,18,7.5
1983,2,1,0,19,4.5
1983,2,2,0,17,0
1983,2,3,0,26.5,0
1983,2,4,0,21,0
1983,2,5,0,21.5,6
1983,2,6,0,24.5,6
1983,2,7,0,21,2
1983,2,8,0,27.5,2
1983,2,9,0,26.5,3
1983,2,10,0,26,3
1983,2,11,0,24,4
1983,2,12,0,26.5,3
1983,2,13,0,30.5,3
1983,2,14,0,23.5,8
1983,2,15,0,24,5
1983,2,16,0,28,2.5
1983,2,17,0,28.5,3
1983,2,18,0,33,4.5
1983,2,19,0,27.5,5
1983,2,20,0,28,4
1983,2,21,0,28,2
1983,2,22,0,27,2.5
1983,2,23,0,29.5,3.5
1983,2,24,0,27,4
1983,2,25,8,26.5,7
1983,2,26,0,26.5,6.5
1983,2,27,0,28,5.5
1983,2,28,0,30,4.8
1983,3,1,0,20,5
1983,3,2,0,22,7
1983,3,3,8,12,9
1983,3,4,0,12.5,5
1983,3,5,0,14,4
1983,3,6,0,19,1.5
1983,3,7,0,19,4
1983,3,8,0,20,4
1983,3,9,0,19,4.5
1983,3,10,0,22.5,3
1983,3,11,4,25,4
1983,3,12,0.5,19,9.5
1983,3,13,0,21,8
1983,3,14,0,25,6.5
1983,3,15,0,20,10.5
1983,3,16,0,15,2
1983,3,17,0,23.5,2
1983,3,18,0,25,4.5
1983,3,19,0,20.5,7.5
1983,3,20,0,18.5,2
1983,3,21,0,23.6,5
1983,3,22,0,24,3
1983,3,23,0,22,6
1983,3,24,0,25,8
1983,3,25,0,19.5,8.5
1983,3,26,0,23.5,5.5
1983,3,27,0,19.5,0
1983,3,28,0,27,3
1983,3,29,0,26.5,8
1983,3,30,0,24.6,8.5
1983,3,31,0,27,8.5
1983,4,1,0,30,15
1983,4,2,0,29.5,9.5
1983,4,3,0,29.5,9
1983,4,4,0,27,15.5
1983,4,5,0,22,6.5
1983,4,6,0,20,3.5
1983,4,7,16,14,3
1983,4,8,0,14,3.5
1983,4,9,0,21,2.5
1983,4,10,0,27,4.5
1983,4,11,0,28,12
1983,4,12,0,27,11.5
1983,4,13,0,23,9.5
1983,4,14,0,22,6
1983,4,15,0,26,7
1983,4,16,0,29,8
1983,4,17,0,30,11
1983,4,18,0,32,8.5
1983,4,19,0,32,13
1983,4,20,0,30.5,12.5
1983,4,21,0,31,12.5
1983,4,22,0,30.5,13
1983,4,23,0,30,12.5
1983,4,24,0,32,12.5
1983,4,25,0,33,15.5
1983,4,26,0,33.5,14
1983,4,27,0,33.5,15
1983,4,28,0,33,15
1983,4,29,0,34.5,16.5
1983,4,30,0,29,17.5
1983,5,1,0,36,18.5
1983,5,2,0,29,18.5
1983,5,3,0,28.5,11
1983,5,4,0,30,11.5
1983,5,5,0,31,11
1983,5,6,0,34,12.5
1983,5,7,0,32,16.5
1983,5,8,0,32.5,14.5
1983,5,9,0,32,16
1983,5,10,0,33.5,15
1983,5,11,0,33,15
1983,5,12,0,32,15
1983,5,13,0,33,16.5
1983,5,14,0,32,14
1983,5,15,0,31,14
1983,5,16,0,34,12
1983,5,17,0,33,15
1983,5,18,0,34,14
1983,5,19,0,35,14
1983,5,20,0,34,15
1983,5,21,0,37,15.5
1983,5,22,0,34.5,15.5
1983,5,23,0,34,17.5
1983,5,24,0,33,19
1983,5,25,21,37,18
1983,5,26,0,32.5,17
1983,5,27,0,34,17
1983,5,28,0,36,20
1983,5,29,0,35,19
1983,5,30,0,36,17
1983,5,31,8,35,18.5
1983,6,1,0,35,18.5
1983,6,2,0,37,18.5
1983,6,3,0,36,20
1983,6,4,0,35,21
1983,6,5,0,36,19
1983,6,6,0,34.5,20
1983,6,7,0,35,18.5
1983,6,8,0,38,19
1983,6,9,0,39,20
1983,6,10,0,37,21
1983,6,11,0,39,21
1983,6,12,0,37.5,22
1983,6,13,0,38.5,22.5
1983,6,14,6,36,21.5
1983,6,15,0,28.5,17
1983,6,16,2,32,19.5
1983,6,17,0,38,20
1983,6,18,0,40,21
1983,6,19,0,40,20.5
1983,6,20,0,39,23
1983,6,21,0,38.5,23
1983,6,22,0,36.5,23
1983,6,23,0.5,34.5,21.5
1983,6,24,0,37,18
1983,6,25,0,37,19
1983,6,26,0,38.5,19.5
1983,6,27,0,37,24
1983,6,28,0,38,18.5
1983,6,29,0,39,19
1983,6,30,12.5,37,19
1983,7,1,0,37.5,19
1983,7,2,0,38.5,22.5
1983,7,3,0,40,23.5
1983,7,4,0,40.5,23
1983,7,5,3,36.5,24
1983,7,6,0,32,20
1983,7,7,1.5,33.5,21
1983,7,8,0,35.5,22
1983,7,9,0,38,22.5
1983,7,10,0,38.5,22
1983,7,11,0,37.5,22.5
1983,7,12,0,36.5,23.5
1983,7,13,0,37,22
1983,7,14,0,35,20
1983,7,15,0,36.5,24
1983,7,16,0,39,24.5
1983,7,17,0,39,22
1983,7,18,0,34,24
1983,7,19,2,34,22
1983,7,20,0,32.5,22.5
1983,7,21,0,33.5,21.5
1983,7,22,0,37,22
1983,7,23,0,37,22
1983,7,24,0,38.5,21.5
1983,7,25,4,38,25.5
1983,7,26,0,36,21
1983,7,27,12,35.5,21
1983,7,28,0,37,19.5
1983,7,29,0,38,21
1983,7,30,0,38,22
1983,7,31,0,37,23.5
1983,8,1,0,37,23
1983,8,2,0,38.5,22
1983,8,3,0,37,22.5
1983,8,4,0,38.5,23
