year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1950,5,31,21.63,21,50.06,6.63,16,29.53,1.25,5,34.5
1950,6,1,22.38,21,49.62,6.27,17,29.17,1.46,4,35.09
1951,2,14,2.91,0,44.68,-14.53,-3.3,21.15,-2.63,3.3,43.7
1952,8,27,20.13,40,45.1,9.07,27.8,27.05,0.93,12.2,28.18
1959,4,12,11.81,11,48.19,-4.99,6,26.08,-0.97,5,39.88
1961,6,16,22.8,22,50.51,9.8,17,30.09,1.83,5,31.58
1964,10,18,15.1,14,42.64,-3.65,8,26.72,1.18,6,33.49
1991,2,19,7.72,6,41.48,-12.11,1,21.46,-2.8,5,42.65
2000,6,9,24.83,31,47.81,4.96,1,32.87,2.91,30,31.9
2000,10,9,12.55,8,47.12,-2.13,3,27.12,-1.46,5,36.13
2000,10,10,12.92,9,46.54,-2.1,2,26.81,-0.48,7,35.23
2002,8,1,21.14,31,45.62,-3.51,-18,40.1,-8.46,49,38.64
2003,6,3,23.71,30,48.42,-8.21,-24,43.57,-6.11,54,42.89
2003,8,28,16.91,32.5,48.35,-4.69,-19,38.73,-9.94,51.5,41.27
2004,3,27,14.05,32,43.42,-12.04,-14,27.74,-1.95,46,43.71
2004,4,9,15.54,28,43.91,-12.42,-14,33.05,-3.21,42,42.03
2004,5,1,19.83,24,44.1,-7.6,-13,32.79,0.31,37,38.49
2005,10,12,16.74,31,43,-5.65,-12,29.51,-3.68,43,39.56
2006,9,9,19.36,27,44.23,-4.46,-17,37.13,-4.86,44,35.86
2008,5,16,15.18,14,50.69,2.19,13,28.63,-1.43,1,36.47
2010,6,12,23.45,37,50.1,5.92,2.5,32.34,2.13,34.5,33.16
2011,2,5,-4.32,-5,46.18,-13.67,-7,17.78,-10.72,2,48.48
