year,month,day,prcp,tmax,tmin
1972,1,1,-99.9,-99.9,-99.9
1972,1,2,-99.9,-99.9,-99.9
1972,1,3,-99.9,-99.9,-99.9
1972,1,4,-99.9,-99.9,-99.9
1972,1,5,-99.9,-99.9,-99.9
1972,1,6,-99.9,-99.9,-99.9
1972,1,7,-99.9,-99.9,-99.9
1972,1,8,-99.9,-99.9,-99.9
1972,1,9,-99.9,-99.9,-99.9
1972,1,10,-99.9,-99.9,-99.9
1972,1,11,-99.9,-99.9,-99.9
1972,1,12,-99.9,-99.9,-99.9
1972,1,13,-99.9,-99.9,-99.9
1972,1,14,-99.9,-99.9,-99.9
1972,1,15,-99.9,-99.9,-99.9
1972,1,16,-99.9,-99.9,-99.9
1972,1,17,-99.9,-99.9,-99.9
1972,1,18,-99.9,-99.9,-99.9
1972,1,19,-99.9,-99.9,-99.9
1972,1,20,-99.9,-99.9,-99.9
1972,1,21,-99.9,-99.9,-99.9
1972,1,22,-99.9,-99.9,-99.9
1972,1,23,-99.9,-99.9,-99.9
1972,1,24,-99.9,-99.9,-99.9
1972,1,25,-99.9,-99.9,-99.9
1972,1,26,-99.9,-99.9,-99.9
1972,1,27,-99.9,-99.9,-99.9
1972,1,28,-99.9,-99.9,-99.9
1972,1,29,-99.9,-99.9,-99.9
1972,1,30,-99.9,-99.9,-99.9
1972,1,31,-99.9,-99.9,-99.9
1972,2,1,0,-99.9,-99.9
1972,2,2,0,-99.9,-99.9
1972,2,3,0,-99.9,-99.9
1972,2,4,0,-99.9,-99.9
1972,2,5,0,-99.9,-99.9
1972,2,6,0,-99.9,-99.9
1972,2,7,0,-99.9,-99.9
1972,2,8,0,-99.9,-99.9
1972,2,9,0,-99.9,-99.9
1972,2,10,0,-99.9,-99.9
1972,2,11,0,-99.9,-99.9
1972,2,12,0,-99.9,-99.9
1972,2,13,1,-99.9,-99.9
1972,2,14,0,-99.9,-99.9
1972,2,15,0,-99.9,-99.9
1972,2,16,0,-99.9,-99.9
1972,2,17,0,-99.9,-99.9
1972,2,18,0,-99.9,-99.9
1972,2,19,0,-99.9,-99.9
1972,2,20,0,-99.9,-99.9
1972,2,21,0,-99.9,-99.9
1972,2,22,0,-99.9,-99.9
1972,2,23,0,-99.9,-99.9
1972,2,24,0,-99.9,-99.9
1972,2,25,0,-99.9,-99.9
1972,2,26,0,-99.9,-99.9
1972,2,27,0,-99.9,-99.9
1972,2,28,0,-99.9,-99.9
1972,2,29,0,-99.9,-99.9
1972,3,1,0,-99.9,-99.9
1972,3,2,0,-99.9,-99.9
1972,3,3,0,-99.9,-99.9
1972,3,4,0,-99.9,-99.9
1972,3,5,0,-99.9,-99.9
1972,3,6,0,-99.9,-99.9
1972,3,7,0,-99.9,-99.9
1972,3,8,0,-99.9,-99.9
1972,3,9,0,-99.9,-99.9
1972,3,10,0,-99.9,-99.9
1972,3,11,0,-99.9,-99.9
1972,3,12,0,-99.9,-99.9
1972,3,13,0,-99.9,-99.9
1972,3,14,0,-99.9,-99.9
1972,3,15,0,-99.9,-99.9
1972,3,16,0,-99.9,-99.9
1972,3,17,0,-99.9,-99.9
1972,3,18,0,-99.9,-99.9
1972,3,19,0,-99.9,-99.9
1972,3,20,0,-99.9,-99.9
1972,3,21,0,-99.9,-99.9
1972,3,22,0,-99.9,-99.9
1972,3,23,0,-99.9,-99.9
1972,3,24,0,-99.9,-99.9
1972,3,25,0,-99.9,-99.9
1972,3,26,0,-99.9,-99.9
1972,3,27,0,-99.9,-99.9
1972,3,28,0,-99.9,-99.9
1972,3,29,0,-99.9,-99.9
1972,3,30,0,-99.9,-99.9
1972,3,31,0,-99.9,-99.9
1972,4,1,0,-99.9,-99.9
