year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1975,6,20,9.61,26,38.57,-8.42,-8.5,24.58,-5.19,34.5,37.22
1975,6,26,9.46,21.5,37.13,-6.44,-7,23.09,-1.86,28.5,31.8
1975,6,28,7.36,25,38.89,-8.98,-9,25.61,-7.83,34,37.46
1975,7,2,10.45,18,34.04,-7.91,-8,24.98,-3.91,26,31.33
1975,7,5,8.84,21.5,35.79,-7.32,-8.5,23.9,-5.23,30,33.28
1975,7,6,7.06,20,37.04,-6.88,-7,23.33,-4.5,27,32.14
1975,7,12,10.35,23.5,33.07,-9.79,-10,25.37,-7.16,33.5,35
1975,7,13,8.11,20.5,35.37,-8.84,-10,24.94,-6.55,30.5,33.94
1975,7,14,8.17,18,34.8,-8.64,-10,25.28,-4.41,28,30.78
1975,7,15,9.77,17.5,34.66,-7.49,-7.5,23.26,2.3,25,26.37
1975,7,20,11.21,21,32.66,-7.52,-8,23.99,-4.01,29,31.41
1975,7,21,12.67,21.5,30.88,-8.57,-9,24.63,-3.01,30.5,30.58
1975,7,24,11.26,23.5,31.23,-8.55,-9,24.01,-5.52,32.5,32.55
1975,7,25,11.87,20,30.54,-9.39,-10,25.1,-3.98,30,30.69
1975,7,28,10.32,19,32.1,-8.45,-9,24.12,-2.08,28,28.82
1975,7,29,10.28,18,32.43,-7.61,-8,24.54,-3.74,26,29.51
1975,9,4,11.13,23,30.7,-8.79,-9,23.03,-5.82,32,33.42
