year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1966,9,9,19.96,25,42.65,6.21,6,25.38,2.77,19,28.25
1973,4,3,12.2,11,45.86,-7.85,2,22.85,1.96,9,41.1
1973,6,23,20.36,20,50.09,7.57,15,28.39,2.63,5,31.86
1979,6,10,23.35,22,48.73,5.95,16,28.39,3.2,6,34.54
1980,4,13,13.96,13,46.5,-6.28,1,23.96,1.91,12,40.87
1986,7,14,20.31,21,46.85,9.88,18.5,25.69,2.73,2.5,28.86
1987,5,18,16.8,17,49.88,1.15,15,25.59,2.31,2,37.63
1991,7,13,18.33,30,48.52,8.12,8,26.78,-0.86,22,32.8
1992,11,4,8.19,7,41.65,-10.48,4,21.78,-0.5,3,39.04
1995,7,1,19.11,31,48.75,5.64,2,29.74,-1.49,29,34.1
2001,4,26,19.01,19,44.44,-2.85,10,23.97,3.07,9,39.25
2003,10,26,12.35,12,42.04,-4.34,7,21.85,-1.63,5,38.51
2007,8,31,15.16,15,47.33,10.57,15,22.46,-2.36,0,31.83
2008,3,26,10.47,10,44.74,-4.57,8,19.16,1.25,2,39.37
