year,month,day,prcp,tmax,tmin
1961,1,1,0,17,-2
1961,1,2,0,15,-3
1961,1,3,0,15,-5
1961,1,4,0,17,-6
1961,1,5,0,18,-2
1961,1,6,6,22,1
1961,1,7,0,9,3
1961,1,8,0,9,2
1961,1,9,0,14,-4
1961,1,10,0,17,-2
1961,1,11,0,18,-2
1961,1,12,0,16,-4
1961,1,13,0,20,-5
1961,1,14,0,16,-3
1961,1,15,0,19,-4
1961,1,16,0,20,-3
1961,1,17,0,22,1
1961,1,18,5.5,20,4
1961,1,19,5,9,2
1961,1,20,4,6,0
1961,1,21,0,7,1
1961,1,22,0,14,2
1961,1,23,15,14,3
1961,1,24,14.5,17,3
1961,1,25,0,16,5
1961,1,26,0,18,0
1961,1,27,0,14,2
1961,1,28,0,15,4
1961,1,29,0,14,3
1961,1,30,0,20,4
1961,1,31,0,22,5
1961,2,1,0,21,1
1961,2,2,0,15,2
1961,2,3,0,21,0
1961,2,4,0,19,3
1961,2,5,2,15,0
1961,2,6,3,10,-4
1961,2,7,0,13,-7
1961,2,8,0,18,0
1961,2,9,0,17,-2
1961,2,10,0,20,-3
1961,2,11,0,24,-1
1961,2,12,0,26,4
1961,2,13,0,27,3
1961,2,14,0,26,6
1961,2,15,0,26,5
1961,2,16,0,25,4
1961,2,17,0,24,3
1961,2,18,0,23,0
1961,2,19,0,21,6
1961,2,20,0,15,-2
1961,2,21,0,12,-3
1961,2,22,0,20,-3
1961,2,23,0,22,3
1961,2,24,0,11,2
1961,2,25,0,20,-5
1961,2,26,0,25,2
1961,2,27,0,21,8
1961,2,28,0,25,2
1961,3,1,0,22,0
1961,3,2,0,26,2
1961,3,3,0,27,6
1961,3,4,0,26,5
1961,3,5,0,25,6
1961,3,6,0,26,5
1961,3,7,0,24,4
1961,3,8,0,24,2
1961,3,9,0,23,2
1961,3,10,0,27,3
1961,3,11,0,26,11
1961,3,12,0,24,4
1961,3,13,0,18,1
1961,3,14,0,29,6
1961,3,15,0,23,9
1961,3,16,0,23,1
1961,3,17,0,20,0
1961,3,18,0,21,1
1961,3,19,0,25,0
1961,3,20,0,20,4
1961,3,21,0,22,2
1961,3,22,0,29,4
1961,3,23,5,25,5
1961,3,24,7,23,9
1961,3,25,0,26,4
1961,3,26,0,24,7
1961,3,27,0,25,3
1961,3,28,0,27,10
1961,3,29,0,26,6
1961,3,30,0,24,1
1961,3,31,0,23,0
1961,4,1,0,26,4
1961,4,2,0,28,3
1961,4,3,0,30,5
1961,4,4,6,29,4
1961,4,5,0,17,8
1961,4,6,0,25,4
1961,4,7,0,29,9
1961,4,8,0,31,14
1961,4,9,0,29,6
1961,4,10,0,30,9
1961,4,11,0,25,8
1961,4,12,0,28,3
1961,4,13,0,33,8
1961,4,14,0,31,12
1961,4,15,0,22,8
1961,4,16,0,28,2
1961,4,17,0,32,8
1961,4,18,0,30,10
1961,4,19,0,33,12
1961,4,20,0,32,18
1961,4,21,0,31,14
1961,4,22,0,34,12
1961,4,23,0,34,13
1961,4,24,0,31,18
1961,4,25,0,30,15
1961,4,26,0,22,12
1961,4,27,0,33,2
1961,4,28,0,35,11
1961,4,29,0,36,18
1961,4,30,0,35,16
1961,5,1,0,33,8
1961,5,2,0,34,8
1961,5,3,0,34,20
1961,5,4,0,33,13
1961,5,5,0,34,14
1961,5,6,0,34,15
1961,5,7,0,31,12
1961,5,8,0,27,11
1961,5,9,0,29,8
1961,5,10,0,33,12
1961,5,11,0,36,12
1961,5,12,0,36,15
1961,5,13,0,31,16
1961,5,14,0,28,5
1961,5,15,0,34,8
1961,5,16,0,36,17
1961,5,17,0,36,15
1961,5,18,0,34,16
1961,5,19,8,34,13
1961,5,20,0,33,14
1961,5,21,0,35,16
1961,5,22,0,36,14
1961,5,23,2.5,36,17
1961,5,24,0,32,13
1961,5,25,0,34,14
1961,5,26,0,34,13
1961,5,27,2,34,15
1961,5,28,0,36,14
1961,5,29,14,34,17
1961,5,30,3,33,15
1961,5,31,0,34,17
1961,6,1,20,30,17
1961,6,2,0,34,14
1961,6,3,0,34,15
1961,6,4,0,35,17
1961,6,5,0,35,19
1961,6,6,0,36,17
1961,6,7,0,35,18
1961,6,8,0,33,19
1961,6,9,0,37,14
1961,6,10,0,36,16
1961,6,11,0,33,17
1961,6,12,0,35,15
1961,6,13,0,35,17
1961,6,14,55,30,17
1961,6,15,30,21,14
1961,6,16,40,21,15
1961,6,17,16,22,15
1961,6,18,0,25,14
1961,6,19,0,28,11
1961,6,20,0,26,15
1961,6,21,0,34,13
1961,6,22,0,33,14
1961,6,23,0,32,15
1961,6,24,0,25,13
1961,6,25,0,26,16
1961,6,26,0,31,16
1961,6,27,20,33,16
1961,6,28,11,30,15
1961,6,29,7,23,16
1961,6,30,0,25,15
1961,7,1,0,29,15
1961,7,2,0,29,14
1961,7,3,0,31,15
1961,7,4,0,29,15
1961,7,5,1,31,18
1961,7,6,0,31,18
1961,7,7,0,29,14
1961,7,8,0,30,20
1961,7,9,1,31,15
1961,7,10,0,25,16
1961,7,11,0,29,13
1961,7,12,0,33,14
1961,7,13,0,34,15
1961,7,14,3,33,17
1961,7,15,0,33,16
1961,7,16,0,32,17
1961,7,17,0,29,16
1961,7,18,0,31,12
1961,7,19,0,32,13
1961,7,20,0,32,15
1961,7,21,0,32,14
1961,7,22,5,32,18
1961,7,23,0,26,15
1961,7,24,0,30,14
1961,7,25,0,26,15
1961,7,26,0,30,16
1961,7,27,0,31,17
1961,7,28,0,31,13
1961,7,29,3,32,17
1961,7,30,15,32,17
1961,7,31,0,26,17
1961,8,1,0,27,16
1961,8,2,13,22,16
1961,8,3,0,30,14
1961,8,4,0,32,12
1961,8,5,0,30,14
1961,8,6,0,30,18
1961,8,7,0,34,15
1961,8,8,0,33,14
1961,8,9,0,33,14
1961,8,10,0,34,16
1961,8,11,0,30,19
1961,8,12,0,30,14
1961,8,13,0,31,13
1961,8,14,3,30,14
1961,8,15,0,31,15
1961,8,16,5,29,14
1961,8,17,0,28,14
1961,8,18,0,29,12
1961,8,19,0,28,13
1961,8,20,16,27,12
1961,8,21,0,29,11
1961,8,22,0,32,11
1961,8,23,0,33,14
1961,8,24,0,32,16
1961,8,25,0,32,14
1961,8,26,5,32,14
1961,8,27,0,33,14
1961,8,28,0,32,14
1961,8,29,0,29,18
1961,8,30,0,31,17
1961,8,31,0,31,14
1961,9,1,0,29,16
1961,9,2,0,32,15
1961,9,3,0,30,16
1961,9,4,4,31,17
1961,9,5,0,29,16
1961,9,6,0,31,14
1961,9,7,0,31,15
1961,9,8,0,32,13
1961,9,9,0,31,15
1961,9,10,0,29,12
1961,9,11,0,29,11
1961,9,12,0,29,16
1961,9,13,9,30,16
1961,9,14,0,24,15
1961,9,15,0,29,11
1961,9,16,0,24,11
1961,9,17,0,29,14
1961,9,18,4,33,14
1961,9,19,0,31,15
1961,9,20,0,32,14
1961,9,21,0,31,12
1961,9,22,1,34,7
1961,9,23,0,34,16
1961,9,24,0,33,15
1961,9,25,0,33,13
1961,9,26,0,32,15
1961,9,27,0,33,13
1961,9,28,0,38,14
1961,9,29,5,30,13
1961,9,30,0,31,12
1961,10,1,0,28,10
1961,10,2,0,30,8
1961,10,3,0,27,12
1961,10,4,0,26,14
1961,10,5,0,24,15
1961,10,6,0,27,10
1961,10,7,0,26,7
1961,10,8,0,26,6
1961,10,9,0,25,5
1961,10,10,0,28,6
1961,10,11,3,30,9
1961,10,12,0,29,12
1961,10,13,0,25,14
1961,10,14,0,20,10
1961,10,15,0,22,2
1961,10,16,0,22,0
1961,10,17,0,25,2
1961,10,18,0,29,5
1961,10,19,0,29,7
1961,10,20,0,28,5
1961,10,21,0,28,9
1961,10,22,0,30,9
1961,10,23,0,29,11
1961,10,24,0,31,9
1961,10,25,1,29,9
1961,10,26,0,22,11
1961,10,27,0,26,10
1961,10,28,0,23,12
1961,10,29,0,25,11
1961,10,30,0,26,9
1961,10,31,0,22,12
1961,11,1,3,27,5
1961,11,2,0,17,5
1961,11,3,0,23,2
1961,11,4,0,27,3
1961,11,5,0,20,5
1961,11,6,4,4,0
1961,11,7,0,13,0
1961,11,8,0,18,4
1961,11,9,0,22,4
1961,11,10,0,22,3
1961,11,11,0,20,1
1961,11,12,0,24,4
1961,11,13,0,24,3
1961,11,14,0,17,4
1961,11,15,0,26,-3
1961,11,16,0,22,-4
1961,11,17,1,18,9
1961,11,18,0,21,4
1961,11,19,0,23,6
1961,11,20,0,30,5
1961,11,21,0,30,7
1961,11,22,0,25,6
1961,11,23,0,24,4
1961,11,24,0,28,5
1961,11,25,0,24,4
1961,11,26,0,27,7
1961,11,27,0,18,6
1961,11,28,0,23,7
1961,11,29,0,21,5
1961,11,30,0,23,3
1961,12,1,0,24,6
1961,12,2,0,25,4
1961,12,3,0,22,4
1961,12,4,0,24,4
1961,12,5,0,22,1
1961,12,6,0,22,3
1961,12,7,0,23,4
1961,12,8,0,19,6
1961,12,9,0,20,4
1961,12,10,0,17,4
1961,12,11,0,21,5
1961,12,12,0,25,2
1961,12,13,0,17,0
1961,12,14,0,16,1
1961,12,15,0,24,2
1961,12,16,1,22,3
1961,12,17,0,13,2
1961,12,18,0,20,3
1961,12,19,0,19,2
1961,12,20,0,19,-3
1961,12,21,0,21,-2
1961,12,22,0,20,2
1961,12,23,0,19,-6
1961,12,24,0,16,-4
1961,12,25,0,18,1
1961,12,26,0,17,1
1961,12,27,0,17,-2
1961,12,28,0,21,-4
1961,12,29,0,18,-6
1961,12,30,0,19,-5
1961,12,31,0,20,-4
1962,1,1,0,10,-6
1962,1,2,0,17,0
1962,1,3,0,17,1
1962,1,4,0,19,-3
1962,1,5,0,10,0
1962,1,6,0,14,-10
1962,1,7,0,19,-3
1962,1,8,0,22,-2
1962,1,9,0,13,2
1962,1,10,3,8,-12
1962,1,11,0,0,-12
1962,1,12,0,10,-16
1962,1,13,0,21,-8
1962,1,14,0,22,2
1962,1,15,0,17,-8
1962,1,16,0,19,-5
1962,1,17,0,20,0
1962,1,18,0,22,3
1962,1,19,0,23,-3
1962,1,20,0,23,-2
1962,1,21,0,20,2
1962,1,22,0,25,3
1962,1,23,0,25,5
1962,1,24,0,20,5
1962,1,25,0,13,9
1962,1,26,0,14,3
1962,1,27,0,11,-7
1962,1,28,0,17,-6
1962,1,29,0,16,0
1962,1,30,0,21,-3
1962,1,31,0,15,-5
1962,2,1,1,21,3
1962,2,2,0,20,4
1962,2,3,0,23,2
1962,2,4,0,26,4
1962,2,5,0,24,5
1962,2,6,0,23,4
1962,2,7,0,23,4
1962,2,8,0,24,4
1962,2,9,0,24,5
1962,2,10,0,25,4
1962,2,11,0,28,6
1962,2,12,0,30,7
1962,2,13,0,29,10
1962,2,14,4,24,11
1962,2,15,0,22,4
1962,2,16,0,25,2
1962,2,17,0,22,6
1962,2,18,0,22,4
1962,2,19,0,24,6
1962,2,20,0,24,10
1962,2,21,0,24,5
1962,2,22,0,21,6
1962,2,23,0,19,0
1962,2,24,0,25,-2
1962,2,25,0,22,6
1962,2,26,0,26,2
1962,2,27,0,23,5
1962,2,28,0,17,-1
1962,3,1,0,20,3
1962,3,2,0,24,1
1962,3,3,0,24,4
1962,3,4,0,19,5
1962,3,5,0,21,-4
1962,3,6,0,24,5
1962,3,7,0,27,10
1962,3,8,0,25,10
1962,3,9,0,24,6
1962,3,10,0,21,4
1962,3,11,0,21,2
1962,3,12,0,21,3
1962,3,13,0,22,4
1962,3,14,0,17,3
1962,3,15,0,15,-7
1962,3,16,0,21,-6
1962,3,17,0,25,6
1962,3,18,0,26,7
1962,3,19,0,28,10
1962,3,20,0,20,11
1962,3,21,0,25,2
1962,3,22,0,22,4
1962,3,23,0,26,2
1962,3,24,0,19,0
1962,3,25,0,22,0
1962,3,26,0,26,3
1962,3,27,0,28,4
1962,3,28,0,26,9
1962,3,29,0,28,7
1962,3,30,0,27,7
1962,3,31,0,22,3
1962,4,1,0,23,2
1962,4,2,0,24,9
1962,4,3,0,27,10
1962,4,4,0,24,14
1962,4,5,0,26,4
1962,4,6,0,23,5
1962,4,7,0,24,4
1962,4,8,0,23,7
1962,4,9,0,28,9
1962,4,10,0,28,4
1962,4,11,0,29,10
1962,4,12,0,23,5
1962,4,13,0,29,8
1962,4,14,0,30,10
