year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1938,11,7,8.17,8.1,36.93,-12.38,-3,21.61,0.45,11.1,35.41
1939,10,11,12.14,12,38.47,-4.8,10.2,23.01,-3.32,1.8,35.72
1946,12,31,-1.13,-3,37.91,-16.77,-3.5,18.18,-7.16,0.5,42.44
1947,1,4,-3.77,-6,40.16,-20.88,-8.5,20.75,-6.26,2.5,42.77
1947,1,5,-3.31,-7,41.27,-18.36,-8.5,19.85,-6.75,1.5,43.22
1947,4,13,3.64,3,48.1,-8.35,-1,23.83,-2.85,4,39
1975,6,2,19.66,39,44.2,1.39,5,27.64,0.99,34,33.84
1975,6,3,20.02,39,43.29,1.66,5,27.98,0.45,34,33.21
1975,6,14,16.09,41,46.61,0.09,3,29.11,-3.7,38,37.2
1975,6,18,20.35,41,43.84,1.7,4,29.59,-3.08,37,35.98
1975,6,19,18.77,40,44.68,2.73,7,28.37,-0.64,33,32.99
1975,6,22,16.53,40,46.55,3.12,4,27.3,-3.09,36,35.74
1975,6,23,16.7,39,45.91,3.14,2,27.8,-2.49,37,34.15
1975,6,25,16.29,38,45.45,3.34,3,27.04,-2.69,35,34.06
1975,6,28,17.2,38,44.23,3.72,3,27.35,-2.53,35,32.89
1975,6,29,16.67,37,43.91,4.44,5,26.68,-2.23,32,31.69
1975,7,6,15.23,37,42.46,5.94,6,24.47,-3.43,31,30.71
1975,7,10,15.29,38,42.64,4.71,7,25.59,-2.84,31,30.47
1975,7,11,16.91,36,40.54,6.58,7,23.96,-1.37,29,28.28
1975,7,20,15.87,35,40.49,4.96,6,25.59,-2.69,29,28.5
1975,8,9,14.51,33.5,41.16,5.2,5,22.87,-2.67,28.5,30.28
1975,8,10,16.74,30,39.45,3.48,3,25.05,-1.02,27,28.68
1975,8,11,16.99,31,38.58,2.26,2,26.92,-3.42,29,29.82
1975,8,12,17,32,38.42,4.57,3,23.91,-1.69,29,28.62
1975,8,22,16.54,34,39.33,4.6,5,23.44,-0.75,29,28.58
1975,8,23,16.33,34.5,39.11,4.13,5,23.88,-1.76,29.5,29.19
1975,8,24,17.24,35,38.43,4.88,5.5,23.49,-0.75,29.5,28.06
1975,8,25,16.95,35,38.81,5.87,7,22.96,-0.53,28,27.47
1975,9,2,10.99,32.5,42.75,4.33,4,23.72,-7.51,28.5,33.21
1978,4,11,6.93,6,45.53,-10.17,3,24.91,-4.17,3,41.8
1980,10,29,9,9,38.6,-9.18,1,23.5,-1.75,8,35.04
1981,10,23,10.98,10,36.22,-8.88,7,23.9,-5.81,3,37.98
1991,7,14,15.97,26,40.89,1.4,1,28.09,-3.5,25,30.87
1997,4,26,11.68,10,42.48,-8.66,3,28.54,-3.28,7,37.51
1997,5,30,16.63,15,44.8,-0.04,4,27.49,3,11,30.98
