year,month,day,prcp,tmax,tmin
1998,1,1,-99.9,-99.9,-99.9
1998,1,2,-99.9,-99.9,-99.9
1998,1,3,-99.9,-99.9,-99.9
1998,1,4,-99.9,-99.9,-99.9
1998,1,5,-99.9,-99.9,-99.9
1998,1,6,-99.9,-99.9,-99.9
1998,1,7,-99.9,-99.9,-99.9
1998,1,8,-99.9,-99.9,-99.9
1998,1,9,-99.9,-99.9,-99.9
1998,1,10,-99.9,-99.9,-99.9
1998,1,11,-99.9,-99.9,-99.9
1998,1,12,-99.9,-99.9,-99.9
1998,1,13,-99.9,-99.9,-99.9
1998,1,14,-99.9,-99.9,-99.9
1998,1,15,-99.9,-99.9,-99.9
1998,1,16,-99.9,-99.9,-99.9
1998,1,17,-99.9,-99.9,-99.9
1998,1,18,-99.9,-99.9,-99.9
1998,1,19,-99.9,-99.9,-99.9
1998,1,20,-99.9,-99.9,-99.9
1998,1,21,-99.9,-99.9,-99.9
1998,1,22,-99.9,-99.9,-99.9
1998,1,23,-99.9,-99.9,-99.9
1998,1,24,-99.9,-99.9,-99.9
1998,1,25,-99.9,-99.9,-99.9
1998,1,26,-99.9,-99.9,-99.9
1998,1,27,-99.9,-99.9,-99.9
1998,1,28,-99.9,-99.9,-99.9
1998,1,29,-99.9,-99.9,-99.9
1998,1,30,-99.9,-99.9,-99.9
1998,1,31,-99.9,-99.9,-99.9
1998,2,1,-99.9,-99.9,-99.9
1998,2,2,-99.9,-99.9,-99.9
1998,2,3,-99.9,-99.9,-99.9
1998,2,4,-99.9,-99.9,-99.9
1998,2,5,-99.9,-99.9,-99.9
1998,2,6,-99.9,-99.9,-99.9
1998,2,7,-99.9,-99.9,-99.9
1998,2,8,-99.9,-99.9,-99.9
1998,2,9,-99.9,-99.9,-99.9
1998,2,10,-99.9,-99.9,-99.9
1998,2,11,-99.9,-99.9,-99.9
1998,2,12,-99.9,-99.9,-99.9
1998,2,13,-99.9,-99.9,-99.9
1998,2,14,-99.9,-99.9,-99.9
1998,2,15,-99.9,-99.9,-99.9
1998,2,16,-99.9,-99.9,-99.9
1998,2,17,-99.9,-99.9,-99.9
1998,2,18,-99.9,-99.9,-99.9
1998,2,19,-99.9,-99.9,-99.9
1998,2,20,-99.9,-99.9,-99.9
1998,2,21,-99.9,-99.9,-99.9
1998,2,22,-99.9,-99.9,-99.9
1998,2,23,-99.9,-99.9,-99.9
1998,2,24,-99.9,-99.9,-99.9
1998,2,25,-99.9,-99.9,-99.9
1998,2,26,-99.9,-99.9,-99.9
1998,2,27,-99.9,-99.9,-99.9
1998,2,28,-99.9,-99.9,-99.9
1998,3,1,-99.9,-99.9,-99.9
1998,3,2,-99.9,-99.9,-99.9
1998,3,3,-99.9,-99.9,-99.9
1998,3,4,-99.9,-99.9,-99.9
1998,3,5,-99.9,-99.9,-99.9
1998,3,6,-99.9,-99.9,-99.9
1998,3,7,-99.9,-99.9,-99.9
1998,3,8,-99.9,-99.9,-99.9
1998,3,9,-99.9,-99.9,-99.9
1998,3,10,-99.9,-99.9,-99.9
1998,3,11,-99.9,-99.9,-99.9
1998,3,12,-99.9,-99.9,-99.9
1998,3,13,-99.9,-99.9,-99.9
1998,3,14,-99.9,-99.9,-99.9
1998,3,15,-99.9,-99.9,-99.9
1998,3,16,-99.9,-99.9,-99.9
1998,3,17,-99.9,-99.9,-99.9
1998,3,18,-99.9,-99.9,-99.9
1998,3,19,-99.9,-99.9,-99.9
1998,3,20,-99.9,-99.9,-99.9
1998,3,21,-99.9,-99.9,-99.9
1998,3,22,-99.9,-99.9,-99.9
1998,3,23,-99.9,-99.9,-99.9
1998,3,24,-99.9,-99.9,-99.9
1998,3,25,-99.9,-99.9,-99.9
1998,3,26,-99.9,-99.9,-99.9
1998,3,27,-99.9,-99.9,-99.9
1998,3,28,-99.9,-99.9,-99.9
1998,3,29,-99.9,-99.9,-99.9
1998,3,30,-99.9,-99.9,-99.9
1998,3,31,-99.9,-99.9,-99.9
1998,4,1,-99.9,-99.9,-99.9
1998,4,2,-99.9,-99.9,-99.9
1998,4,3,-99.9,-99.9,-99.9
1998,4,4,-99.9,-99.9,-99.9
1998,4,5,-99.9,-99.9,-99.9
1998,4,6,-99.9,-99.9,-99.9
1998,4,7,-99.9,-99.9,-99.9
1998,4,8,-99.9,-99.9,-99.9
1998,4,9,-99.9,-99.9,-99.9
1998,4,10,-99.9,-99.9,-99.9
1998,4,11,-99.9,-99.9,-99.9
1998,4,12,-99.9,-99.9,-99.9
1998,4,13,-99.9,-99.9,-99.9
1998,4,14,-99.9,-99.9,-99.9
1998,4,15,-99.9,-99.9,-99.9
1998,4,16,-99.9,-99.9,-99.9
1998,4,17,-99.9,-99.9,-99.9
1998,4,18,-99.9,-99.9,-99.9
1998,4,19,-99.9,-99.9,-99.9
1998,4,20,-99.9,-99.9,-99.9
1998,4,21,-99.9,-99.9,-99.9
1998,4,22,-99.9,-99.9,-99.9
1998,4,23,-99.9,-99.9,-99.9
1998,4,24,-99.9,-99.9,-99.9
