year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1962,1,10,-5.53,-6,44.25,-16.04,-9,16.5,-6.53,3,45.04
1970,9,27,12.14,12,48.98,0.03,4,27.33,-1.17,8,34.92
1984,6,10,23.85,23,48.31,7.66,19,28.54,3.45,4,32.51
1991,9,20,14.93,12,46.72,5.58,10,26,-2.05,2,32.1
1997,4,25,13.71,13,48.02,-2.29,7,25.61,3.15,6,35.26
1997,4,26,17.06,15,45.14,0.57,6,22.73,4.53,9,34.37
2000,10,9,9.5,6,48.4,-3.77,3,26.66,-2.56,3,37.58
2000,10,10,10.6,7,48.72,-6.56,-7,28.24,-0.19,14,37.83
2008,5,16,18.65,16,47.9,1.97,14,26.21,3.05,2,35.32
2008,9,16,16.56,16,45.1,7.32,12,24.51,0.2,4,29.63
2011,2,5,-4.94,-6,46.38,-13.44,-14,17.89,-8.12,8,45.11
