year,month,day,prcp,tmax,tmin
1969,1,1,-99.9,-99.9,-99.9
1969,1,2,-99.9,-99.9,-99.9
1969,1,3,-99.9,-99.9,-99.9
1969,1,4,-99.9,-99.9,-99.9
1969,1,5,-99.9,-99.9,-99.9
1969,1,6,-99.9,-99.9,-99.9
1969,1,7,-99.9,-99.9,-99.9
1969,1,8,-99.9,-99.9,-99.9
1969,1,9,-99.9,-99.9,-99.9
1969,1,10,-99.9,-99.9,-99.9
1969,1,11,-99.9,-99.9,-99.9
1969,1,12,-99.9,-99.9,-99.9
1969,1,13,-99.9,-99.9,-99.9
1969,1,14,-99.9,-99.9,-99.9
1969,1,15,-99.9,-99.9,-99.9
1969,1,16,-99.9,-99.9,-99.9
1969,1,17,-99.9,-99.9,-99.9
1969,1,18,-99.9,-99.9,-99.9
1969,1,19,-99.9,-99.9,-99.9
1969,1,20,-99.9,-99.9,-99.9
1969,1,21,-99.9,-99.9,-99.9
1969,1,22,-99.9,-99.9,-99.9
1969,1,23,-99.9,-99.9,-99.9
1969,1,24,-99.9,-99.9,-99.9
1969,1,25,-99.9,-99.9,-99.9
1969,1,26,-99.9,-99.9,-99.9
1969,1,27,-99.9,-99.9,-99.9
1969,1,28,-99.9,-99.9,-99.9
1969,1,29,-99.9,-99.9,-99.9
1969,1,30,-99.9,-99.9,-99.9
1969,1,31,-99.9,-99.9,-99.9
1969,2,1,-99.9,-99.9,-99.9
1969,2,2,-99.9,-99.9,-99.9
1969,2,3,-99.9,-99.9,-99.9
1969,2,4,-99.9,-99.9,-99.9
1969,2,5,-99.9,-99.9,-99.9
1969,2,6,-99.9,-99.9,-99.9
1969,2,7,-99.9,-99.9,-99.9
1969,2,8,-99.9,-99.9,-99.9
1969,2,9,-99.9,-99.9,-99.9
1969,2,10,-99.9,-99.9,-99.9
1969,2,11,-99.9,-99.9,-99.9
1969,2,12,-99.9,-99.9,-99.9
1969,2,13,-99.9,-99.9,-99.9
1969,2,14,-99.9,-99.9,-99.9
1969,2,15,-99.9,-99.9,-99.9
1969,2,16,-99.9,-99.9,-99.9
1969,2,17,-99.9,-99.9,-99.9
1969,2,18,-99.9,-99.9,-99.9
1969,2,19,-99.9,-99.9,-99.9
1969,2,20,-99.9,-99.9,-99.9
1969,2,21,-99.9,-99.9,-99.9
1969,2,22,-99.9,-99.9,-99.9
1969,2,23,-99.9,-99.9,-99.9
1969,2,24,-99.9,-99.9,-99.9
1969,2,25,-99.9,-99.9,-99.9
1969,2,26,-99.9,-99.9,-99.9
1969,2,27,-99.9,-99.9,-99.9
1969,2,28,-99.9,-99.9,-99.9
1969,3,1,-99.9,-99.9,-99.9
1969,3,2,-99.9,-99.9,-99.9
1969,3,3,-99.9,-99.9,-99.9
1969,3,4,-99.9,-99.9,-99.9
1969,3,5,-99.9,-99.9,-99.9
1969,3,6,-99.9,-99.9,-99.9
1969,3,7,-99.9,-99.9,-99.9
1969,3,8,-99.9,-99.9,-99.9
1969,3,9,-99.9,-99.9,-99.9
1969,3,10,-99.9,-99.9,-99.9
1969,3,11,-99.9,-99.9,-99.9
1969,3,12,-99.9,-99.9,-99.9
1969,3,13,-99.9,-99.9,-99.9
1969,3,14,-99.9,-99.9,-99.9
1969,3,15,-99.9,-99.9,-99.9
1969,3,16,-99.9,-99.9,-99.9
1969,3,17,-99.9,-99.9,-99.9
1969,3,18,-99.9,-99.9,-99.9
1969,3,19,-99.9,-99.9,-99.9
1969,3,20,-99.9,-99.9,-99.9
1969,3,21,-99.9,-99.9,-99.9
1969,3,22,-99.9,-99.9,-99.9
1969,3,23,-99.9,-99.9,-99.9
1969,3,24,-99.9,-99.9,-99.9
1969,3,25,-99.9,-99.9,-99.9
1969,3,26,-99.9,-99.9,-99.9
1969,3,27,-99.9,-99.9,-99.9
1969,3,28,-99.9,-99.9,-99.9
1969,3,29,-99.9,-99.9,-99.9
1969,3,30,-99.9,-99.9,-99.9
1969,3,31,-99.9,-99.9,-99.9
1969,4,1,-99.9,-99.9,-99.9
1969,4,2,-99.9,-99.9,-99.9
1969,4,3,-99.9,-99.9,-99.9
1969,4,4,-99.9,-99.9,-99.9
1969,4,5,-99.9,-99.9,-99.9
1969,4,6,-99.9,-99.9,-99.9
1969,4,7,-99.9,-99.9,-99.9
1969,4,8,-99.9,-99.9,-99.9
1969,4,9,-99.9,-99.9,-99.9
1969,4,10,-99.9,-99.9,-99.9
1969,4,11,-99.9,-99.9,-99.9
1969,4,12,-99.9,-99.9,-99.9
1969,4,13,-99.9,-99.9,-99.9
1969,4,14,-99.9,-99.9,-99.9
1969,4,15,-99.9,-99.9,-99.9
1969,4,16,-99.9,-99.9,-99.9
1969,4,17,-99.9,-99.9,-99.9
1969,4,18,-99.9,-99.9,-99.9
1969,4,19,-99.9,-99.9,-99.9
1969,4,20,-99.9,-99.9,-99.9
1969,4,21,-99.9,-99.9,-99.9
1969,4,22,-99.9,-99.9,-99.9
1969,4,23,-99.9,-99.9,-99.9
1969,4,24,-99.9,-99.9,-99.9
1969,4,25,-99.9,-99.9,-99.9
1969,4,26,-99.9,-99.9,-99.9
1969,4,27,-99.9,-99.9,-99.9
1969,4,28,-99.9,-99.9,-99.9
1969,4,29,-99.9,-99.9,-99.9
1969,4,30,-99.9,-99.9,-99.9
1969,5,1,0,34.1,16.9
1969,5,2,0,34.1,16.9
1969,5,3,0,31,16.9
1969,5,4,0,31,18
1969,5,5,0,32,12
1969,5,6,0,29,11.5
1969,5,7,0,29,10
1969,5,8,-99.9,29.5,12
1969,5,9,-99.9,30,15
1969,5,10,-99.9,31,14
1969,5,11,0,32,13.5
1969,5,12,0,32,13
1969,5,13,0,34,15
1969,5,14,0,32.5,13
1969,5,15,0,33,15
1969,5,16,0,33,17
1969,5,17,0,32,15
1969,5,18,0,35.5,16.5
1969,5,19,0,37.5,19
1969,5,20,0,39,24.5
1969,5,21,0,39,24.5
1969,5,22,0,34.1,24
1969,5,23,0,34.1,16.9
1969,5,24,-99.9,34.1,16.9
1969,5,25,0,38,19
1969,5,26,0,39,20
1969,5,27,0,38.5,20
1969,5,28,0,39,23.5
1969,5,29,6,35.5,18
1969,5,30,0,36,17
1969,5,31,0,37.5,20
1969,6,1,-99.9,35.5,23
1969,6,2,8,35,24
1969,6,3,0,34,12.5
1969,6,4,0,34.5,18
1969,6,5,0,36,20.5
1969,6,6,10.4,38,21.5
1969,6,7,0,35.5,19
1969,6,8,0,38.5,19.5
1969,6,9,0,39,20
1969,6,10,0,38.5,19.5
1969,6,11,0,38,19
1969,6,12,0,36,18.5
1969,6,13,0,38,22
1969,6,14,0,38,21.5
1969,6,15,0,39,21.5
1969,6,16,0,36,20.5
1969,6,17,0,39.5,24
1969,6,18,0,39,21
1969,6,19,0,41,21.5
1969,6,20,0,38,24.5
1969,6,21,0,38,21.5
1969,6,22,0,42.5,21.5
1969,6,23,0,40,26
1969,6,24,0,39.5,23.5
1969,6,25,0,39,25
1969,6,26,0,39,24
1969,6,27,0,38,20
1969,6,28,0,38,21.5
1969,6,29,0,42,21.5
1969,6,30,0,38,24
1969,7,1,0,39,25
1969,7,2,0,38,21.5
1969,7,3,0,38.5,25
1969,7,4,0,34,25
1969,7,5,0,34,22.5
1969,7,6,4,41,22.5
1969,7,7,18.5,35,21.5
1969,7,8,13.5,30,22
1969,7,9,3,32,20
1969,7,10,0,34,21
1969,7,11,0,34,21
1969,7,12,0,34,22.5
1969,7,13,0,37.5,22.5
1969,7,14,0,32,22.5
1969,7,15,0,30.5,21
1969,7,16,0,37,21
1969,7,17,0,31,22
1969,7,18,0,34,23
1969,7,19,0,34,22.5
1969,7,20,0,36,22.5
1969,7,21,0.3,32,24
1969,7,22,0.5,35,22
1969,7,23,0.1,31.5,21
1969,7,24,0.1,35,23
1969,7,25,0,34,24
1969,7,26,0,34,22.5
1969,7,27,0.8,32,22.5
1969,7,28,0.3,32,23
1969,7,29,0,31,22
1969,7,30,0,34,23
1969,7,31,0,35,24
1969,8,1,0,36,24
1969,8,2,0,36,22.5
1969,8,3,0,38,22.5
1969,8,4,0,37,21
1969,8,5,0,38,26
1969,8,6,0,38,23
1969,8,7,0,35,23
1969,8,8,0,36,23
1969,8,9,0,37,22.5
1969,8,10,0,32.5,24
1969,8,11,0,37,20
1969,8,12,0,38,26.5
1969,8,13,0,39,24.5
1969,8,14,0,38,23
1969,8,15,0,36,22
1969,8,16,0,36,22.5
1969,8,17,0,40,22.5
1969,8,18,0,40.5,20
1969,8,19,0.8,39,24
1969,8,20,0,31.5,20
1969,8,21,0,36.5,22.5
1969,8,22,0,36,22.5
1969,8,23,0,36,22.5
1969,8,24,0,38,22.5
1969,8,25,0.2,37.5,22
1969,8,26,4.3,33.5,21
1969,8,27,0,31,21
1969,8,28,0.8,30.5,20.5
1969,8,29,0,36,20.5
1969,8,30,0,36,22.5
1969,8,31,0,31.5,22.5
1969,9,1,0,33,19
1969,9,2,0,33.5,21
1969,9,3,0,34.5,20
1969,9,4,0,34.5,19
1969,9,5,0,35.5,21
1969,9,6,0,35.5,21
1969,9,7,0,36.5,21
1969,9,8,0,34.5,21
1969,9,9,0,34.5,22.5
1969,9,10,6.5,40.5,22.5
1969,9,11,0,33,22
1969,9,12,0,33.5,21
1969,9,13,0,33,21
1969,9,14,14.5,33.5,22
1969,9,15,0,36,22
1969,9,16,0,38,21.5
1969,9,17,0,34.5,21
1969,9,18,0,31,20
1969,9,19,0,31,19.5
1969,9,20,0,31,19
1969,9,21,0,31,18.5
1969,9,22,0,31,18
1969,9,23,0,32.5,18.5
1969,9,24,0,32,19
1969,9,25,0,33,18
1969,9,26,0,32.5,19
1969,9,27,0,33,17.5
1969,9,28,0,32.5,18
1969,9,29,0,30.5,15.5
1969,9,30,0,30.5,14
1969,10,1,0,32.5,20.5
1969,10,2,0,33,-99.9
1969,10,3,0,33,-99.9
1969,10,4,0,30,15.2
