year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1947,5,18,19.33,19.3,43.91,3.99,12.1,25.94,2.8,7.2,30.52
1961,6,16,21.53,20,49.11,10.98,17,29.68,2.75,3,27.23
1961,11,6,5.65,4,43.11,-6.25,3,19.88,-0.21,1,35.34
1968,3,21,7.59,6,43.36,-7.13,1,22.53,-0.37,5,35.92
1968,9,12,20.01,20,41.27,8.11,14,25.59,1.71,6,25.87
1970,7,7,23.45,35,43.39,8.63,10,29.82,3.66,25,24.73
1970,9,27,7.03,7,49.37,-0.06,6,28.64,-6.91,1,34.73
1972,6,7,22.63,22,46.57,9.36,15,27.87,4.63,7,27.34
1975,7,19,21.39,33,44.22,11.11,11,27.58,2.03,22,24.88
1976,11,13,8.8,8,39.32,-8.1,3,19.42,0.41,5,36.39
1979,9,15,14.14,14.1,45.24,7.78,14,25.11,-4.76,0.1,31.26
1981,6,11,23.02,43,46.32,10.15,11,29.33,-0.18,32,30.03
1983,4,7,11.36,9,44.64,-3.85,3,23.22,2.69,6,33.94
1983,8,19,18.13,28,43.17,7.66,7,29.27,0.13,21,24.24
1983,8,20,20.04,33,41.77,8.7,7,27.54,-0.53,26,26.1
