year,month,day,prcp,tmax,tmin
1982,1,1,0,23,5
1982,1,2,0,22,4
1982,1,3,0,22,6
1982,1,4,0,20,6
1982,1,5,0,17,-3
1982,1,6,0,25,-2
1982,1,7,0,23,3
1982,1,8,0,24,4
1982,1,9,0,14,5
1982,1,10,0,21,5
1982,1,11,18,20,6
1982,1,12,0,13,8
1982,1,13,0,12,7
1982,1,14,0,17,3
1982,1,15,0,15,-4
1982,1,16,0,23,1
1982,1,17,0,21,1
1982,1,18,0,25,-3
1982,1,19,0,25,4
1982,1,20,0,21,5
1982,1,21,0,19,10
1982,1,22,0,21,5
1982,1,23,0,22,8
1982,1,24,0,21,1
1982,1,25,0,26,6
1982,1,26,0,25,4
1982,1,27,0,22,2
1982,1,28,0,24,5
1982,1,29,0,25,2
1982,1,30,0,15,3
1982,1,31,0,17,-2
1982,2,1,0,21,-1
1982,2,2,0,17,2
1982,2,3,0,21,5
1982,2,4,0,22,1
1982,2,5,0,23,2
1982,2,6,0,21,6
1982,2,7,0,24,5
1982,2,8,0,23,6
1982,2,9,0,21,4
1982,2,10,0,24,3
1982,2,11,0,25,2
1982,2,12,0,20,10
1982,2,13,0,21,4
1982,2,14,0,25,3
1982,2,15,0,24,4
1982,2,16,0,26,4
1982,2,17,0,26,7
1982,2,18,0,25,6
1982,2,19,0,22,6
1982,2,20,0,21,7
1982,2,21,0,21,5
1982,2,22,0,25,6
1982,2,23,0,29,6
1982,2,24,0,23,8
1982,2,25,0,22,5
1982,2,26,0,12,5
1982,2,27,0,19,-2
1982,2,28,0,20,5
1982,3,1,0,24,6
1982,3,2,0,26,6
1982,3,3,0,27,6
1982,3,4,0,26,6
1982,3,5,0,24,4
1982,3,6,0,28,5
1982,3,7,0,26,7
1982,3,8,0,27,6
1982,3,9,0,26,1
1982,3,10,0,29,6
1982,3,11,0,28,8
1982,3,12,0,30,9
1982,3,13,0,30,8
1982,3,14,0,28,11
1982,3,15,0,28,5
1982,3,16,0,28,4
1982,3,17,0,30,6
1982,3,18,0,32,10
1982,3,19,0,30,11
1982,3,20,0,30,6
1982,3,21,0,29,8
1982,3,22,0,30,8
1982,3,23,0,30,5
1982,3,24,0,29,12
1982,3,25,0,30,11
1982,3,26,0,29,7
1982,3,27,0,30,5
1982,3,28,0,29,7
1982,3,29,0,28,4
1982,3,30,0,29,7
1982,3,31,0,30,8
1982,4,1,0,32,7
1982,4,2,0,31,9
1982,4,3,0,32,7
1982,4,4,0,33,8
1982,4,5,0,33,9
1982,4,6,0,34,10
1982,4,7,0,34,9
1982,4,8,0,30,10
1982,4,9,0,30,9
1982,4,10,0,29,10
1982,4,11,0,32,10
1982,4,12,0,34,5
1982,4,13,0,33,16
1982,4,14,0,32,17
1982,4,15,0,32,10
1982,4,16,0,31,8
1982,4,17,0,34,10
1982,4,18,0,34,10
1982,4,19,0,32,11
1982,4,20,0,30,10
1982,4,21,0,28,14
1982,4,22,0,15,10
1982,4,23,0,21,9
1982,4,24,0,27,5
1982,4,25,0,29,6
1982,4,26,0,31,7
1982,4,27,0,31,12
1982,4,28,6,21,13
1982,4,29,0,29,14
1982,4,30,0,27,8
1982,5,1,0,23,10
1982,5,2,0,31,16
1982,5,3,0,29,17
1982,5,4,0,29,11
1982,5,5,0,28,14
1982,5,6,0,28,18
1982,5,7,0,31,9
1982,5,8,0,31,8
1982,5,9,0,30,9
1982,5,10,0,31,5
1982,5,11,0,30,9
1982,5,12,0,29,15
1982,5,13,0,29,8
1982,5,14,0,30,7
1982,5,15,0,33,10
1982,5,16,0,33,11
1982,5,17,0,33,15
1982,5,18,0,33,13
1982,5,19,0,33,13
1982,5,20,0,31,16
1982,5,21,0,33,13
1982,5,22,0,34,13
1982,5,23,0,33,12
1982,5,24,0,34,14
1982,5,25,0,35,16
1982,5,26,0,34,17
1982,5,27,0,33,16
1982,5,28,0,35,17
1982,5,29,0,31,14
1982,5,30,0,36,13
1982,5,31,0,34,14
1982,6,1,0,40,16
1982,6,2,0,38,14
1982,6,3,0,38,14
1982,6,4,0,40,17
1982,6,5,0,41,18
1982,6,6,0,39,19
1982,6,7,0,39,19
1982,6,8,0,40,17
1982,6,9,0,39,15
1982,6,10,0,37,17
1982,6,11,0,37,18
1982,6,12,0,38,20
1982,6,13,0,36,18
1982,6,14,0,37,19
1982,6,15,0,37,22
1982,6,16,0,39,22
1982,6,17,0,37,18
1982,6,18,0,36,19
1982,6,19,0,37,15
1982,6,20,0,36,11
1982,6,21,0,37,15
1982,6,22,0,36,21
1982,6,23,0,38,17
1982,6,24,0,39,19
1982,6,25,0,38,20
1982,6,26,0,40,18
1982,6,27,0,39,19
1982,6,28,0,37,20
1982,6,29,0,35,19
1982,6,30,0,37,20
1982,7,1,0,35,19
1982,7,2,17,34,18
1982,7,3,2.5,32,17
1982,7,4,0,32,18
1982,7,5,0,32,19
1982,7,6,0,34,16
1982,7,7,10,34,20
1982,7,8,3,34,19
1982,7,9,0,33,18
1982,7,10,0,36,20
1982,7,11,0,35,21
1982,7,12,0,34,18
1982,7,13,0,34,17
1982,7,14,0,35,17
1982,7,15,7,36,17
1982,7,16,5,34,19
1982,7,17,0,35,18
1982,7,18,0,34,19
1982,7,19,7,35,19
1982,7,20,0,32,18
1982,7,21,0,35,14
1982,7,22,0,33,15
1982,7,23,0,32,17
1982,7,24,0,33,18
1982,7,25,0,34,16
1982,7,26,0,33,18
1982,7,27,0,35,15
1982,7,28,0,35,16
1982,7,29,0,34,18
1982,7,30,0,33,19
1982,7,31,0,34,17
1982,8,1,0,34,18
1982,8,2,0,35,19
1982,8,3,0,34,18
1982,8,4,0,35,15
1982,8,5,8.5,33,17
1982,8,6,0,34,16
1982,8,7,0,34,17
1982,8,8,23,35,16
1982,8,9,14,27,18
1982,8,10,4,26,17
1982,8,11,0,29,19
1982,8,12,0,30,16
1982,8,13,0,33,16
1982,8,14,0,34,17
1982,8,15,0,35,17
1982,8,16,0,35,19
1982,8,17,0,35,18
1982,8,18,6,34,17
1982,8,19,0,33,15
1982,8,20,13,33,17
1982,8,21,0,32,17
1982,8,22,7,31,17
1982,8,23,0,33,15
1982,8,24,0,33,17
1982,8,25,0,32,16
1982,8,26,0,32,15
1982,8,27,0,31,17
1982,8,28,0,33,15
1982,8,29,0,34,16
1982,8,30,0,34,16
1982,8,31,0,33,18
1982,9,1,0,33,17
1982,9,2,0,36,19
1982,9,3,0,33,18
1982,9,4,0,30,18
1982,9,5,10,32,15
1982,9,6,0,32,17
1982,9,7,0,31,16
1982,9,8,12,32,17
1982,9,9,7,31,18
1982,9,10,0,31,11
1982,9,11,0,30,10
1982,9,12,0,36,17
1982,9,13,0,32,19
1982,9,14,6,31,14
1982,9,15,0,32,14
1982,9,16,0,31,15
1982,9,17,0,33,15
1982,9,18,0,30,15
1982,9,19,0,33,15
1982,9,20,0,32,14
1982,9,21,0,31,15
1982,9,22,0,30,15
1982,9,23,0,33,14
1982,9,24,0,34,15
1982,9,25,0,33,14
1982,9,26,0,35,14
1982,9,27,0,32,18
1982,9,28,5,33,16
1982,9,29,0,25,17
1982,9,30,0,28,16
1982,10,1,0,32,12
