"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"Lon",-105.0625,-104.9375,-105.4375,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-104.6875,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875
"Lat",29.0625,29.0625,29.1875,29.1875,29.1875,29.1875,29.1875,29.1875,29.3125,29.3125,29.3125,29.3125,29.3125,29.3125,29.4375,29.4375,29.4375,29.4375,29.4375,29.5625,29.5625,29.5625,29.6875,29.6875,29.6875,29.8125,29.8125
"1960-01-31",24.81,26.34,21.17,22.74,25.4,26.94,28.64,30.34,24.19,26.11,28.84,30.7,32.5200000000001,34.26,25.53,27.44,29.55,32.25,34.1299999999999,26.12,28.14,30.31,26.28,28.34,30.47,26.05,28.05
"1960-02-29",2.39,2.28,1.32,1.27,2.33,2.14,1.93,1.71,1.13,1.02,1.88,1.6,1.29,0.55,2.41,2.02,1.61,1.34,0.990000000000001,2.58,2.1,1.65,2.84,2.3,1.8,3.15999999999999,2.6
"1960-03-31",1.51,1.27,1.64,1.55,1.42,1.22,1.01,0.799999999999999,1.28,1.14,0.979999999999998,0.779999999999999,0.589999999999999,0.42,1.28,1.12,0.92,0.62,0.43,1.12,0.960000000000001,0.779999999999999,1.01,0.870000000000001,0.699999999999999,0.94,0.809999999999999
"1960-04-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1960-05-31",0.0899999999999999,0.0999999999999999,0.16,0.13,0.11,0.0999999999999999,0.0899999999999999,0.0799999999999999,0.13,0.11,0.0999999999999999,0.0799999999999999,0.0699999999999999,0.0599999999999999,0.13,0.11,0.0899999999999999,0.0699999999999999,0.0599999999999999,0.12,0.0999999999999999,0.0899999999999999,0.12,0.0999999999999999,0.0799999999999999,0.11,0.0999999999999999
"1960-06-30",16.97,16.3,17,16.74,16.4,15.91,15.17,14.25,16.09,15.6,14.9,14.05,13.02,12.02,15.49,14.87,14.07,13.11,12.03,15,14.3,13.49,14.63,13.95,13.14,14.39,13.75
"1960-07-31",131.89,127.84,145.12,135.61,131.14,126.17,120.72,115.05,131.78,126.4,120.42,114,107.4,101.64,133.07,122.17,115.68,108.67,101.52,130.1,123.06,112.37,125.74,119.18,110.69,119.34,114.26
"1960-08-31",76.87,71.15,77.51,75.32,72.3299999999999,67.7599999999999,61.0099999999999,53.1799999999999,69.4799999999998,64.9200000000001,58.8800000000001,51.3199999999999,42.62,34.01,64.0600000000001,58.5299999999999,51.6299999999999,43.3499999999999,34.1600000000001,59.52,53.5899999999998,46.43,51.53,50.37,43.49,50.69,45.33
"1960-09-30",9.84,8.64999999999999,8.40999999999999,8.67,8.55999999999999,7.92,6.81999999999999,5.58999999999999,7.35999999999999,7.01000000000001,6.29000000000001,5.28,4.11,2.98,6.36,5.85999999999999,5.1,4.11999999999999,2.99,5.61999999999999,5.04,4.29999999999999,6.33999999999999,4.50999999999999,3.81,6.08000000000001,5.37
"1960-10-31",9.03,8.51,7.47,7.93999999999998,8.2,8.16,7.91000000000001,7.60000000000001,7.48,7.64000000000001,7.61999999999999,7.48,7.30999999999999,7.13999999999999,7.17999999999999,7.27999999999999,7.29000000000001,7.23999999999999,7.13,6.99,7.06,7.1,10.08,6.93999999999998,6.99,10.71,10.03
"1960-11-30",22.29,24.74,26.75,25.66,25.39,26.3,28.2,30.42,28.18,28.43,29.4,30.9999999999999,32.91,34.7199999999999,30.03,30.5499999999999,31.56,33.0099999999999,34.71,31.3700000000001,32.01,32.9799999999999,25.45,32.9300000000001,33.8300000000001,24.78,26.84
"1960-12-31",23.22,24.28,23.79,23.91,24.21,24.89,25.99,27.26,24.97,25.54,26.42,27.57,28.9,30.22,25.89,26.63,27.63,28.83,30.21,26.61,27.44,28.44,27.88,27.83,28.92,28.15,28.84
"1961-01-31",14.2,18.84,24.33,21.91,20.2,19.99,22.44,27.41,26.2,23.26,24.77,27,30.78,34.8400000000001,31.55,29.84,28.64,30.82,34.0000000000001,34.6699999999999,33.3399999999999,31.2900000000001,36.8600000000001,35.6799999999999,35.4299999999999,33.8799999999999,33.4600000000001
"1961-02-28",0.11,0.7,1.24,0.800000000000001,0.28,0.7,1.1,1.94,1.69,0.35,1.14,1.41,1.86,2.28,1.72,1.29,1.36,1.5,1.63,2.08,1.61,1.48,2.32,1.83,1.46,2.90999999999999,2.47
"1961-03-31",0.00999999999999999,0.11,0,0,0,0.0999999999999999,0.18,0.330000000000001,0,0,0.17,0.22,0.31,0.389999999999999,0,0,0.2,0.23,0.25,0,0,0.22,0,0,0,0.589999999999999,0.540000000000001
"1961-04-30",0.02,0.13,0.06,0.0399999999999999,0.03,0.12,0.22,0.42,0,0.0399999999999999,0.21,0.28,0.380000000000001,0.48,0,0,0.26,0.29,0.309999999999999,0,0,0.28,0,0,0,0,0
"1961-05-31",0.679999999999999,4.29000000000001,6.88000000000001,4.99,4.26000000000001,5.13999999999999,7.65,12.73,5.54000000000001,7.03,9.57000000000001,12.13,16.28,20.81,8.68,9.39000000000001,13.54,16.13,19.77,10.25,11.57,16.43,11.42,12.96,15.04,11.39,12.96
"1961-06-30",48.27,56.9000000000001,71.3600000000001,65.52,60.4700000000001,59.4500000000001,63.0999999999999,70.3899999999999,75.33,66.3800000000001,68.1699999999999,71.5299999999999,77.5400000000001,84.2000000000001,83.3799999999999,80.3499999999999,75.3699999999999,79.1799999999999,84.9399999999999,89.1500000000001,86.9300000000001,80.34,93.1700000000001,91.35,91.2500000000001,72.12,73.1300000000001
"1961-07-31",46.3900000000001,47.1000000000001,50.2700000000001,49.3099999999999,47.5299999999999,47.0100000000001,47.0599999999999,47.2299999999999,48.43,47.19,46.7700000000002,46.4000000000001,45.79,45.0000000000001,46.2199999999999,45.7100000000001,45.9699999999999,45.1999999999999,44.0499999999999,45.6799999999999,45.0599999999999,45.1999999999999,45.3100000000001,44.6100000000001,43.72,33.9200000000001,34.2899999999999
"1961-08-31",34.3699999999998,43.78,52.0399999999998,47.9999999999999,43.0600000000001,45.18,49.3299999999998,57.9999999999999,50.4699999999999,45.73,52,54.6000000000002,59.1499999999999,63.63,49.59,48.8700000000001,55.49,57.2400000000001,59.1100000000001,50.4799999999999,50.2700000000001,57.5299999999999,51.0899999999999,51.0199999999999,51.24,45.3900000000001,45.64
"1961-09-30",84.1899999999999,72.9999999999999,52.3899999999999,58.44,64.2399999999999,69.6399999999999,66.1400000000001,59.04,56.2100000000001,56.8599999999999,59.91,57.39,52.29,46.8200000000001,47.79,50.3900000000001,52.9100000000001,50.07,45.4299999999999,43.86,45.54,48.4100000000001,42.2499999999999,42.4100000000001,41.4800000000001,43.05,42.3
"1961-10-31",22.96,19.47,16.19,17.34,19.09,19.37,18.87,15.92,15.18,18.76,17.39,17.92,18.32,19.58,12.92,16.24,16.04,17.44,19.58,12.05,16.23,16.34,16.5,16.84,18.16,16.58,17.24
"1961-11-30",14.49,13.41,9.36,8.7,9.66,10.3,9.62000000000001,10.91,6.81999999999999,4.61000000000001,4.38,5.09000000000001,6.18999999999999,6.27999999999999,4.32,1.26,0.710000000000001,2.27,3.81,4.17999999999999,1.39,1.1,4.71999999999999,3.15999999999999,2.03,5.90000000000001,4.47
