OBJECTID,ID,CVE_SUBCUE,CVE_RH,RH,CVE_CUE,CUENCA,CVE_SUBC,SUBCUENCA,AREA_KM2,PERIMETRO,Lon,Lat
1,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128714927,29.8046517935
2,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128713125,29.8038978019
3,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128716988,29.8034639222
4,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128703739,29.8029875504
5,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128688471,29.8024385989
6,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128684636,29.8018864043
7,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.12872234,29.801357915
8,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128733975,29.8010205263
9,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128768877,29.8005202595
10,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.12886445,29.800237572
11,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.12914181,29.7999098968
12,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129405661,29.7997414628
13,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129631165,29.7994934082
14,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129743917,29.7991438759
15,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129676266,29.7987830688
16,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129529688,29.7985688395
17,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129563515,29.7981742062
18,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129817942,29.7976500291
19,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130032095,29.7970551645
20,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130079683,29.7966030672
21,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130222452,29.7961747642
22,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130055495,29.7958450394
23,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129844293,29.7954226359
24,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129548611,29.7950565534
25,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129345094,29.7948873163
26,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129274026,29.7947444608
27,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129276993,29.7944242374
28,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129426813,29.794117788
29,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129454054,29.7937772885
30,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129338283,29.7933959292
31,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129461023,29.7929149025
32,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129508612,29.7923676264
33,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129633438,29.7918517294
34,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129562054,29.7911378907
35,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129585849,29.790638204
36,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129609644,29.7901861058
37,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129324108,29.7897102143
38,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128997929,29.7892777357
39,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.128970319,29.7888635907
40,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129108369,29.7884494448
41,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129274026,29.788062909
42,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129467294,29.7875383245
43,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.129771001,29.7870689594
44,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130129928,29.7865167639
45,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130350805,29.7859645703
46,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130513994,29.7852795711
47,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130700139,29.7846280608
48,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130851383,29.7840230869
49,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130847781,29.7833968665
50,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130820172,29.7827894527
51,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130903,29.7822924783
52,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.130985829,29.7817402829
53,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.131179097,29.7808567718
54,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.131179097,29.7801665296
55,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.131261927,29.7797247745
56,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.131482805,29.778730824
57,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.131933355,29.7777639341
58,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.132166038,29.7771124238
59,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.132559584,29.7765496559
60,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.132946119,29.7756109265
61,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.133636363,29.7748102439
62,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.133940069,29.7742580503
63,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.134354214,29.7737334649
64,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.134760445,29.7732033622
65,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.135156005,29.7729939479
66,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.135726077,29.7728427053
