OBJECTID_1,Lon,Lat
1,-105.07921755,28.5789756929
2,-105.079022885,28.5694934337
3,-105.077761147,28.5665515093
4,-105.073952196,28.5620155412
5,-105.074480508,28.5595352074
6,-105.073470924,28.5572723485
7,-105.070418129,28.5547713537
8,-105.064287555,28.5531563836
9,-105.057365748,28.5549196645
10,-105.052270128,28.5519564955
11,-105.044337245,28.5519074159
12,-105.037667257,28.5545745236
13,-105.03177773,28.5549912514
14,-105.02361075,28.5520051245
15,-105.017211747,28.5524167955
16,-105.012628809,28.5492286629
17,-105.010093522,28.545828114
18,-105.008119482,28.5358832084
19,-105.007104575,28.5345225072
20,-105.007126722,28.5313631979
21,-105.005364331,28.5275156922
22,-105.005391284,28.5236793849
23,-105.009298458,28.5137702103
24,-105.016021958,28.5034295842
25,-105.015556694,28.4968808137
26,-105.019438329,28.4905864857
27,-105.020524997,28.4813385179
28,-105.028171322,28.4849974582
29,-105.069431977,28.5100744428
30,-105.077363963,28.5096729881
31,-105.080681716,28.5105940306
32,-105.08453398,28.508131935
33,-105.091230591,28.5007212588
34,-105.100782351,28.4865562306
35,-105.102095124,28.4811482879
36,-105.105196179,28.4757479831
37,-105.10628084,28.4660479863
38,-105.109732265,28.4572231711
39,-105.11241306,28.4560632849
40,-105.114335871,28.4522968936
41,-105.117128238,28.4492641764
42,-105.119858689,28.4467863643
43,-105.120317205,28.4428174358
44,-105.118905619,28.4382470218
45,-105.118609474,28.4345253762
46,-105.121343728,28.4275342661
47,-105.121353414,28.4259545808
48,-105.119826608,28.4245928975
49,-105.120109333,28.4200792838
50,-105.119864501,28.419591443
51,-105.120499937,28.4158067154
52,-105.121323267,28.4087992709
53,-105.120998551,28.4080952519
54,-105.121205212,28.4078967275
55,-105.125541962,28.4092761481
56,-105.127333508,28.4088344317
57,-105.127129606,28.4002546943
58,-105.128159687,28.3989064855
59,-105.131482637,28.3984745484
60,-105.134815326,28.3966839928
61,-105.137920089,28.3899288656
62,-105.137689317,28.3858670524
63,-105.133363474,28.3831339839
64,-105.130300462,28.3828909673
65,-105.114182038,28.3866402544
66,-105.112905882,28.3864066214
67,-105.107825417,28.3818634946
68,-105.108877076,28.3769046949
69,-105.115057848,28.3688138659
70,-105.11687801,28.363633189
71,-105.120730504,28.3600439318
72,-105.121766005,28.3575651511
73,-105.119727525,28.3568764044
74,-105.118717186,28.3550651545
75,-105.118051308,28.3385827416
76,-105.116561339,28.3318071189
77,-105.115882428,28.3311998976
78,-105.11631882,28.3302192678
79,-105.11320567,28.3274667101
80,-105.109646527,28.3223267231
81,-105.109569956,28.3206272086
82,-105.113922087,28.315796297
83,-105.113800116,28.3121270675
84,-105.10957316,28.3050278193
85,-105.111648955,28.3013909375
86,-105.113609907,28.2976589957
87,-105.116516221,28.2947227434
88,-105.11654339,28.2946698497
89,-105.118835756,28.2936711256
90,-105.119566285,28.2899232675
91,-105.121483433,28.2881405711
92,-105.121694892,28.2868525045
93,-105.127069979,28.2826576573
94,-105.129119205,28.2817665848
95,-105.13165928,28.2835853395
96,-105.134977001,28.2833767399
97,-105.137517826,28.2854233136
98,-105.140068149,28.2858878647
99,-105.142886379,28.2838719453
100,-105.143158423,28.2809379153
101,-105.14214678,28.2795781637
102,-105.143431395,28.2782318111
103,-105.149052822,28.276905607
104,-105.155706763,28.2735559696
105,-105.169561331,28.260761868
106,-105.19344827,28.2315415187
107,-105.197025786,28.2306562828
108,-105.200330442,28.2329285332
109,-105.204149954,28.2338504049
110,-105.2092657,28.23139411
111,-105.210303475,28.2280119216
112,-105.21209883,28.2262150402
113,-105.217964168,28.2264698577
114,-105.22460576,28.2249200155
115,-105.229444871,28.2260719482
116,-105.234024596,28.2285781959
117,-105.237833813,28.2319815561
118,-105.239363839,28.2322135875
119,-105.239893872,28.2283784619
120,-105.23762275,28.2234040598
121,-105.236898669,28.2148206703
122,-105.233847641,28.2130002141
123,-105.226208085,28.210706665
124,-105.221135263,28.2050414964
125,-105.210437563,28.202505982
126,-105.208364035,28.2015763267
127,-105.209116818,28.2008813864
128,-105.206842576,28.1972926004
129,-105.20804024,28.1927169002
130,-105.211909002,28.1899695738
131,-105.208712369,28.1872945395
132,-105.203424491,28.1865467802
133,-105.198472689,28.1858939974
134,-105.197529801,28.1841597637
135,-105.193466812,28.1812047002
136,-105.190682887,28.1773540622
137,-105.190550232,28.1772708246
138,-105.190171843,28.1762639967
139,-105.185945665,28.1723921554
140,-105.187936339,28.1686872759
141,-105.187591235,28.1651521426
142,-105.188176663,28.1645670724
143,-105.191812275,28.1623264781
144,-105.192812284,28.1614021891
145,-105.19586365,28.1585943393
146,-105.200792697,28.1540079821
147,-105.201792575,28.1530836247
148,-105.202738243,28.1484900127
149,-105.204897726,28.1448357012
150,-105.202674511,28.1414499048
151,-105.204927038,28.1354389028
152,-105.204836446,28.1337728484
153,-105.205424072,28.1327263326
154,-105.206942274,28.1295393187
155,-105.210324181,28.1271145189
156,-105.214727203,28.1224400183
157,-105.218332791,28.1210922466
158,-105.217104475,28.1129750495
159,-105.212931372,28.1112035136
160,-105.208780759,28.109408805
161,-105.205485079,28.1068190543
162,-105.203248939,28.1032538458
163,-105.197435599,28.101602579
164,-105.195314367,28.0979286704
165,-105.193024998,28.0944095647
166,-105.191995411,28.0881402532
167,-105.188836478,28.0854252656
168,-105.186540093,28.0819151927
169,-105.182572818,28.0783746446
170,-105.181383016,28.0738294359
171,-105.179061368,28.0728013255
172,-105.176776837,28.0644209499
173,-105.173464283,28.0624012335
174,-105.173562214,28.0622222001
175,-105.173190681,28.0622344138
176,-105.170431003,28.0605517948
177,-105.162037231,28.058476674
178,-105.159478683,28.0602693124
179,-105.157696235,28.0602600871
180,-105.156692867,28.0593605214
181,-105.155502906,28.0570344699
182,-105.154357912,28.0524496101
183,-105.152931727,28.0481393502
184,-105.150123463,28.0450977198
185,-105.14828869,28.0417881823
186,-105.146719837,28.0354379002
187,-105.146987537,28.0347816263
188,-105.14678171,28.0312006275
