"cuenca" "mes" "S" "tau" "var" "pvalue"
1 1 300 0.255102008581161 13458.6669921875 0.0099567174911499
1 2 296 0.251700639724731 13458.6669921875 0.0109951496124268
1 3 158 0.13435372710228 13458.6669921875 0.175955295562744
1 4 118 0.100340127944946 13458.6669921875 0.313204526901245
1 5 212 0.180272087454796 13458.6669921875 0.0689442157745361
1 6 14 0.0119047602638602 13458.6669921875 0.910777568817139
1 7 -72 -0.0612244829535484 13458.6669921875 0.540532231330872
1 8 -42 -0.0357142835855484 13458.6669921875 0.723778605461121
1 9 88 0.0748299211263657 13458.6669921875 0.453299522399902
1 10 98 0.0833333283662796 13458.6669921875 0.403085112571716
1 11 140 0.119047604501247 13458.6669921875 0.230855822563171
1 12 254 0.215986371040344 13458.6669921875 0.0291968584060669
2 1 292 0.248299300670624 13458.6669921875 0.0121288299560547
2 2 248 0.21088433265686 13458.6669921875 0.0332460403442383
2 3 46 0.0391156412661076 13458.6669921875 0.698095560073853
2 4 -2 -0.00170068012084812 13458.6669921875 0.993122458457947
2 5 -64 -0.0544217638671398 13458.6669921875 0.587095618247986
2 6 34 0.0289115607738495 13458.6669921875 0.77606201171875
2 7 132 0.112244889140129 13458.6669921875 0.258814096450806
2 8 30 0.0255102012306452 13458.6669921875 0.802606582641602
2 9 22 0.0187074802815914 13458.6669921875 0.856354594230652
2 10 160 0.136054411530495 13458.6669921875 0.170514106750488
2 11 220 0.187074810266495 13458.6669921875 0.0590603351593018
2 12 178 0.151360526680946 13458.6669921875 0.127081871032715
