"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P60","P61","P62","P63","P64","P65","P66","P67","P68","P69","P70","P71","P72","P73","P74","P75","P76","P77","P78","P79","P80","P81","P82","P83","P84","P85","P86","P87","P88","P89","P90","P91","P92","P93","P94","P95","P96","P97","P98","P99","P100","P101","P102","P103","P104","P105","P106","P107","P108","P109","P110","P111","P112","P113","P114","P115","P116","P117","P118","P119","P120","P121","P122","P123","P124","P125","P126","P127","P128","P129","P130","P131","P132","P133","P134","P135","P136","P137","P138","P139","P140","P141","P142","P143","P144","P145","P146","P147","P148","P149","P150","P151","P152","P153","P154","P155","P156","P157","P158","P159","P160"
"Lon",-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-90.4375,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-92.4375,-92.3125,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-92.3125,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.6875,-91.5625,-91.4375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-92.1875,-92.0625,-91.9375,-92.5625,-92.4375,-92.3125,-92.0625,-91.9375,-92.5625,-92.4375,-92.0625,-92.5625,-92.4375
"Lat",16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,17.0625,17.0625,17.0625,17.0625,17.0625,17.1875,17.1875,17.1875,17.3125,17.3125,17.3125,17.3125,17.3125,17.3125,17.3125,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.9375,17.9375,17.9375,17.9375,17.9375,18.0625,18.0625,18.0625,18.1875,18.1875,18.1875,18.3125,18.3125,18.3125,18.3125,18.3125,18.4375,18.4375,18.4375,18.5625,18.5625
"1960-01-31",1.73,11.85,35.0700000000001,71.5499999999999,102.15,107.46,99.2999999999999,89.98,84.3499999999999,82.2599999999999,82.3500000000001,83.1400000000001,83.4099999999999,7.79999999999999,28.8,51.3700000000001,85.33,117.39,118.72,107.07,93.9599999999999,86.7599999999998,84.08,84.4899999999999,85.6200000000001,85.7600000000001,89.1700000000001,14.17,38.37,54.9900000000001,81.1100000000001,101.59,108.28,101.46,93.54,88.11,85.8199999999999,88.28,87.3100000000001,87.3300000000001,20.93,25.23,35.7499999999999,47.1000000000001,65.6200000000001,82.5599999999999,91.92,91.5100000000001,98.5500000000001,94.3800000000001,95.0299999999999,90.3,88.12,19.27,20.1,25.79,30.21,32.16,40.15,53.33,66.66,88.5700000000001,95.4299999999999,94.7999999999999,99.5700000000001,94.24,91.38,89.74,22.5,25.28,27.78,32.2800000000002,46.3300000000001,59.8699999999998,73.01,90.14,106.54,101.48,96.5999999999999,94.17,25,30.04,34.8,48.7799999999999,54.4,72.46,77.7100000000001,102.2,102.12,43.56,75.2099999999999,82.45,85.49,92.2599999999999,81.54,88.0699999999999,90.06,92.1300000000001,84.01,93.38,96.2699999999999,92.1300000000001,90.36,88.66,88.6799999999999,75.41,88.2099999999999,84.41,100.96,91.83,90.9999999999999,88.9500000000001,86.6200000000001,107.76,93.1300000000001,108.96,98.8399999999999,93.4899999999999,89.0799999999999,84.7299999999999,82.38,97.3699999999999,98.43,101.58,125.03,114.23,102.47,88.9400000000001,76.9400000000001,78.4499999999999,101.44,101.4,105.76,120.89,132.21,116.63,89.7100000000001,72.9800000000001,75.0000000000001,150.38,141.72,139.57,71.8800000000002,70.0300000000001,168.8,152.06,128.92,181.81,195.23,163.36,114.76,126.24,154.56,171.98,139.38,98.59,115.95,133.82,101.68,111.62
"1960-02-29",0,1.8,5.9,12.41,17.87,18.81,15.79,11.95,8.22,5.31,3.27,2.13,1.72,1.66,5.46999999999999,9.42000000000001,15.28,20.65,20.87,17.5,12.41,7.93,4.54,2.2,0.950000000000001,0.749999999999999,2.72,3.87,8.16000000000001,10.73,14.85,18.13,18.46,16.02,12.05,7.93,4.41999999999999,2.66,0.410000000000001,0.440000000000002,5.5,6.91000000000001,8.65000000000001,10.02,12.63,15.22,14.99,13.46,15.7,11.92,9.49000000000001,4.68000000000001,1.8,2.57,3.83999999999999,6.35999999999999,8.6,8.61,9.20000000000001,10.89,12.79,20.63,18.85,16.74,16.44,11.53,7.88999999999999,5.45000000000001,6.53999999999999,6.15999999999999,7.30999999999999,10.72,14.26,16.32,19.93,25.65,31.35,22.85,18.41,15.05,4.99999999999999,9.23999999999999,14.55,20.28,19.54,28.55,30.9500000000001,34.0199999999999,33.8100000000001,19.96,29.5999999999999,33.3000000000001,34.64,35.12,37.8700000000001,38.7100000000001,38.54,49.3199999999999,38.63,40.3599999999999,38.63,36.1000000000001,34.0400000000001,31.8199999999999,52.2,45.27,46.7699999999999,38.7799999999999,43.2299999999999,36.4500000000001,35.41,32.4900000000001,29.3300000000001,52.9200000000001,48.66,45.2599999999999,36.73,35.73,33.0199999999999,27.12,24.04,53.6099999999999,50.9999999999999,45.0399999999999,37.5800000000001,27.51,25.23,21.52,13.94,14.04,49.2800000000001,49.0999999999999,41.41,27.63,18.03,19.69,16.57,9.13000000000001,10.36,32.6599999999999,30.6299999999999,27.86,9.44999999999999,9.47,19.68,21.3,14.42,17.36,16.87,18.15,10.42,11.21,13.51,16.01,15.01,9.70999999999998,9.31000000000001,15.79,4.27,7.40999999999999
"1960-03-31",31.9000000000001,33.3900000000001,32.63,39.1599999999999,47.0100000000001,48.35,42.0999999999999,33.1999999999999,23.84,16.04,10.24,6.82,5.61,23.63,32.4999999999999,36.26,43.5699999999999,51.62,51.9499999999999,45.4299999999999,33.86,22.73,13.6,6.84000000000001,2.99,2.37,3.96999999999999,18.99,34.42,38.5499999999999,44.4,47.1000000000001,47.44,42.0500000000001,32.6700000000001,22.26,12.86,4.96,0.579999999999999,0.579999999999999,18.15,22.5,27.67,33.3700000000001,39.5599999999999,44.2300000000001,40.1599999999999,36.3100000000001,29.02,20.58,12.8,6.34,2.28,0.0899999999999999,17.66,22.43,19.36,22.91,30.06,35.9200000000002,40.2800000000001,40.14,30.66,25.92,20.39,14.59,9.32000000000001,6.10999999999999,24.85,34.0399999999999,27.36,25.39,31.07,32.4199999999999,34.5899999999999,31.23,35.2799999999999,24.19,20.98,16.36,45.0000000000001,38.66,30.94,29.95,25.89,20.83,21.08,30.5,30.58,24.34,28.48,21.28,21.43,19.77,17.89,19.73,20.47,20.96,18.38,20.82,21.58,20.47,18.96,17.23,21.91,15.38,17.61,18.46,21.72,21.84,20.75,18.02,15.46,22.69,18.71,24.69,20.94,21.51,18.93,13.9,11.32,19.31,18.46,17.68,19.39,17.39,15.46,11.07,3.92000000000001,4.93999999999999,17.81,18,16.72,14.78,13.4,12.95,7.72,0.779999999999999,1.84,17.53,14.84,14.24,2.02,1.59,15.28,12,9.53000000000001,11.73,6.78,9.61999999999999,7.82,8.37,9.56000000000001,7.78999999999999,7.32000000000002,7.24999999999998,6.84000000000001,7.81000000000001,3.17,5.41999999999999
"1960-04-30",26.76,39.69,65.8599999999999,113.54,155.47,162.74,142.8,117.29,93.7400000000001,76.2200000000001,64.5399999999999,58.2500000000001,56.07,25.83,57.4700000000001,86.7699999999999,132.96,176.91,178.7,154.76,121.52,93.2300000000001,72.5499999999999,59.3000000000001,52.41,51.3099999999999,63.3999999999999,30.2300000000001,62.5299999999999,86.52,123.97,154.65,160.14,143.24,117.53,92.16,71.5700000000001,62.61,49.89,49.9599999999999,26.41,36.15,52.68,70.2699999999999,98.4800000000001,124.04,131.58,123.41,124.19,102.86,96.06,74.5400000000001,57.8799999999999,74.1999999999999,52.1900000000001,42.24,44.7800000000001,45.8199999999999,56.7800000000001,77.16,98.0300000000001,133.01,130.17,119.52,129.57,113.61,92.2599999999999,78.3399999999999,48.63,26.78,30.8300000000001,45.9500000000001,69.39,86.55,109.21,160.73,202.9,156.65,151.78,132.4,6.99999999999999,28.23,46.1600000000001,78.45,96.48,155.74,170.74,207.9,208.58,56.9600000000001,154.12,180.61,190.79,199.93,172.19,190.71,200.94,162.05,174.34,194.74,209.14,209.33,197.66,183.02,156.73,118.85,140,174.34,188.38,228.66,218.01,191.99,169.17,177.4,148.19,225.67,198.97,221.54,202.95,157.47,134.67,147.17,146.62,132.64,133.95,135.61,142.91,122.8,69.5499999999999,77.4999999999999,132.03,133.48,120.24,85.6299999999999,61.35,87.4899999999999,84.8600000000001,45.3099999999999,55.2,83.0900000000001,71.82,69.8300000000001,50.2299999999999,52.8800000000001,32.0000000000001,41.88,35.67,23.15,18.34,30.54,10.94,12.87,16.29,23.43,30.6999999999999,9.74000000000001,10.16,33.45,4.20999999999999,8.07
"1960-05-31",102.29,107.94,116.47,137.81,158.88,162.54,153.51,144.88,139.49,137.35,137.21,137.74,137.95,91.4899999999998,109.56,123.28,140.25,169.19,170.35,160.54,148.82,141.98,139.13,139.09,139.88,139.96,141.82,78.4800000000001,89.2600000000001,106.77,132.91,153.02,160.76,154.51,147.29,142.34,140.23,140.31,141.12,141.08,64.2200000000001,56.2899999999999,68.2299999999999,86.6900000000001,110.81,130.83,143.37,143.72,150.13,146.83,147.81,141.78,141.07,125.22,82.2599999999999,62.5100000000001,51.15,55.7700000000001,72.1200000000001,92.1799999999999,110.13,134.92,146.57,147.32,151.5,141.63,140.61,140.3,74.1,57.8499999999999,53.7500000000001,55.1999999999999,70.5600000000002,97.12,116.59,133.81,153.97,152.75,139.17,138.53,51,55.9699999999999,54.17,78.2899999999999,88.3100000000002,109.52,116.27,148.66,147.82,73.8799999999999,117.04,124.41,127.55,148.81,120.85,132.01,133.18,151.66,127.36,146.24,144.52,141.07,147.47,156.14,132.62,123.2,153.36,128.76,171.05,124.68,132.35,149.51,163.69,196.24,163,178.76,147.51,128.36,141.15,169.73,183.79,154.4,164.46,170.35,208.8,172.59,167.09,183.9,220.12,214.79,145.91,148.11,172.44,191.44,205.05,195.04,206.28,231.89,211.43,115.69,116.65,137.59,171.07,155.03,79.0200000000001,72.62,84.2699999999999,65.41,56.5,62.4199999999999,44.8500000000001,46.43,53.1799999999999,53.9800000000001,47.7699999999999,42.4899999999999,39.0899999999999,48.74,18.95,31.09
"1960-06-30",82.4199999999999,137.55,284.89,470.109999999999,610.760000000001,635.1,574.74,500.67,438.39,394.65,367.449999999999,353.67,348.969999999999,200.24,281.39,393.890000000001,547.05,678.950000000001,684.159999999999,613.839999999999,513.560000000001,438.63,387.21,357.09,342.63,340.419999999999,351.78,329.799999999999,377.67,436.340000000001,535.940000000001,620.870000000001,632.919999999999,586.239999999999,516.140000000001,447.75,393.57,364.179999999999,335.7,335.469999999999,416.1,417.78,446.589999999999,453.830000000001,499.209999999999,552.27,564.45,539.25,528.860000000001,470.409999999999,403.059999999999,360.15,341.85,357.830000000001,371.420000000001,420.39,497.679999999999,478.02,454.59,470.949999999999,503.31,559.250000000001,536.810000000001,502.71,438.890000000001,389.1,364.610000000001,351.429999999999,358.44,345.3,414.39,446.619999999999,470.319999999999,476.31,496.970000000001,505.460000000001,480.800000000001,444.429999999999,399.320000000001,378.969999999999,279,332.930000000001,388.74,413.930000000001,382.779999999999,384.680000000001,367.59,422.07,421.68,371.04,310.83,358.299999999999,345.96,299.11,324.969999999999,325.400000000001,319.95,414.36,330.96,338.949999999999,319.08,296.78,283.57,270.65,410.330000000001,389.150000000001,390.93,332.559999999999,368.330000000001,290.32,286.36,272.03,255.02,435.789999999999,395.169999999999,365.73,308.540000000001,288.63,272.39,240.24,223.06,336.320000000001,352.08,351.110000000001,321.129999999999,266.36,236.6,208.1,162.46,169,312.42,321.939999999999,320.04,269.17,227.13,222.59,187.39,142.16,145.04,253.25,237.72,236.9,141.87,130.68,192.14,210.92,202.43,197.62,213.7,208.24,97.83,115.61,152.05,202.48,200.64,87.3200000000001,92.43,183.68,36.6399999999999,73.8699999999999
"1960-07-31",153.51,208.26,326.92,522.159999999999,688.130000000001,716.77,631.320000000001,521.569999999999,416.160000000001,334.999999999999,278.95,247.7,236.96,180.12,300.84,420.199999999999,605.770000000001,772.31,779.21,679.08,535.76,409.939999999999,314.509999999999,250.69,216.3,210.96,231.89,240.25,375.739999999999,459.359999999999,590.950000000002,691.209999999998,705.159999999998,633.470000000001,520.700000000001,405.519999999999,309.09,245.09,196.96,196.83,289.32,309.97,368.679999999998,424.550000000001,516.390000000001,600.489999999999,596.039999999999,555.530000000001,509.1,414.24,329.859999999999,254.5,213.42,233.31,262.55,313.060000000001,340.620000000001,352.380000000002,393.26,458.039999999999,523.629999999999,582.31,519.310000000001,467.43,409.61,333.490000000001,279.53,247.77,328.5,339.959999999999,339.979999999998,352.019999999999,409.77,443.130000000001,486.639999999999,509.969999999999,538.690000000002,443.750000000001,388.100000000001,341.379999999999,345.999999999999,354.670000000001,337.739999999999,365.44,347.880000000001,343.38,342.870000000001,468.689999999999,469.489999999999,298.68,345.44,344.269999999999,343.239999999999,329.000000000001,294.73,318.640000000001,326.009999999999,282.2,303.57,337.650000000001,340.780000000002,330.240000000002,320.31,309.73,249.02,191.35,226.9,305.22,361.69,331.760000000001,327.069999999999,312.829999999999,298,238.39,227.59,341.85,330.18,327.700000000001,315.86,287.24,272.35,233.44,225.17,218.51,270.28,277.99,269.76,256.01,222.16,227.17,221.02,220.07,220.38,220.68,223.03,237.38,232.93,204.94,204.05,225.35,220.46,222.4,197.39,186.08,209.48,228.52,240.51,221.9,245.2,237.09,136.06,146.91,179.72,234.32,229.4,126.98,122.59,204.79,54.2900000000001,97.9799999999999
"1960-08-31",327.15,362.300000000002,440.15,591.549999999999,727.65,751.169999999999,672.810000000001,573.4,477.239999999999,402.59,350.61,321.509999999999,311.45,302.84,391.66,486.999999999999,638.740000000001,795.54,801.89,709.05,586.11,471.319999999999,383.539999999999,324.199999999999,292,287.01,296.39,255.6,364.56,457.189999999999,598.289999999999,711.510000000001,729.260000000001,662.6,559.47,456.209999999999,370.870000000001,307.18,272.25,271.95,216.05,235.54,289.95,373.94,492.319999999999,593.899999999999,615.100000000001,582.36,513.420000000001,433.180000000001,364.000000000001,308.79,281.41,254.06,210.18,213.68,221.23,241.81,310.919999999999,404.250000000001,491.56,525.959999999999,496.999999999999,457.579999999999,409.039999999999,351.98,315.300000000001,295.53,227.96,210.94,216.04,223.27,293.29,340.17,395.830000000001,425.76,461.739999999999,405.87,366.799999999999,336.27,197,211.15,205.4,222.07,206.14,202.39,199.34,365.119999999999,366.5,180.4,194.24,198.42,195.95,190.2,167.66,179.85,182.86,163.74,173,191.33,190.32,187.69,187.07,187.13,161.46,102.76,135.79,174.01,207.01,181.74,183.48,185.59,186.41,92.1899999999998,134.04,163.72,180.49,179.53,183.4,185.38,186.15,248.4,212.8,162.83,168.41,149.97,153.13,168.49,180.46,178,240.57,216.04,159.79,121.44,115.92,135.58,166.39,183.91,180.46,214.51,215.83,193.16,175.43,176.23,215.97,230.08,188.6,229.74,261.14,238.63,129.38,144.4,182.48,244.45,232.11,118.97,118.93,222.49,52.3499999999999,95.32
