"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P60","P61","P62","P63","P64","P65","P66","P67","P68","P69","P70","P71","P72","P73","P74","P75","P76","P77","P78","P79","P80","P81","P82","P83","P84","P85","P86","P87","P88","P89","P90","P91","P92","P93","P94","P95","P96","P97","P98","P99","P100","P101","P102","P103","P104","P105","P106","P107","P108","P109","P110","P111","P112","P113","P114","P115","P116","P117","P118","P119","P120","P121","P122","P123","P124","P125","P126","P127","P128","P129","P130","P131","P132","P133","P134","P135","P136","P137","P138","P139","P140","P141","P142","P143","P144","P145","P146","P147","P148","P149","P150","P151","P152","P153","P154","P155","P156","P157","P158","P159","P160"
"Lon",-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-90.4375,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-92.4375,-92.3125,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-92.3125,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.6875,-91.5625,-91.4375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-92.1875,-92.0625,-91.9375,-92.5625,-92.4375,-92.3125,-92.0625,-91.9375,-92.5625,-92.4375,-92.0625,-92.5625,-92.4375
"Lat",16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,17.0625,17.0625,17.0625,17.0625,17.0625,17.1875,17.1875,17.1875,17.3125,17.3125,17.3125,17.3125,17.3125,17.3125,17.3125,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.9375,17.9375,17.9375,17.9375,17.9375,18.0625,18.0625,18.0625,18.1875,18.1875,18.1875,18.3125,18.3125,18.3125,18.3125,18.3125,18.4375,18.4375,18.4375,18.5625,18.5625
"1960-01-31",25.7487096774194,26.1016129032258,25.6625806451613,26.8261290322581,30.0616129032258,32.34,31.4161290322581,29.83,29.9896774193548,29.7603225806452,29.2035483870968,28.8003225806452,28.7667741935484,24.3529032258065,24.9754838709677,25.5861290322581,27.1783870967742,29.5083870967742,30.8648387096774,30.8541935483871,29.7096774193548,29.2716129032258,29.4422580645161,28.8625806451613,28.3806451612903,28.3874193548387,28.4177419354839,22.6232258064516,23.7306451612903,22.3125806451613,26.0670967741936,30.511935483871,29.7612903225806,29.7506451612903,27.4267741935484,28.9151612903226,28.4432258064516,28.131935483871,28.2158064516129,28.2545161290323,20.9209677419355,23.0667741935484,22.7074193548387,25.0735483870968,27.4374193548387,29.9503225806452,28.2445161290323,26.4335483870968,26.1912903225806,27.13,27.1090322580645,27.8896774193548,28.2577419354839,20.9735483870968,22.4806451612903,22.5661290322581,22.7609677419355,24.5451612903226,26.5809677419355,27.4770967741936,28.2564516129032,25.8645161290323,23.2316129032258,26.0512903225806,26.8696774193548,27.4690322580645,27.9822580645161,28.0558064516129,25.2916129032258,28.3941935483871,28.0570967741935,27.1048387096774,27.6345161290323,27.9590322580645,26.8738709677419,24.0077419354839,25.8751612903226,26.5896774193548,27.0893548387097,28.1645161290323,31.8616129032258,30.6338709677419,28.7212903225806,29.5587096774194,27.8825806451613,24.0174193548387,25.1893548387097,26.9151612903226,26.7341935483871,27.07,26.7638709677419,25.4567741935484,26.8161290322581,27.8209677419355,26.4483870967742,27.2596774193548,27.9770967741935,27.5951612903226,28.1429032258064,28.5658064516129,28.1132258064516,27.7870967741936,28.0709677419355,28.6438709677419,27.7390322580645,28.0445161290322,28.281935483871,28.8345161290323,29.77,28.2354838709677,28.5261290322581,28.7493548387097,28.8103225806452,28.9970967741935,29.2645161290323,29.2364516129032,29.0367741935484,28.6670967741935,28.7041935483871,28.8329032258065,28.8738709677419,29.0032258064516,28.9516129032258,29.2487096774194,29.5651612903226,29.0648387096774,28.99,28.961935483871,29.1141935483871,28.9693548387097,28.8529032258065,29.1312903225806,29.3235483870968,28.86,29.2235483870968,29.1058064516129,29.1554838709677,29.148064516129,29.0283870967742,28.9522580645161,29.0090322580645,29.3925806451613,29.1922580645161,29.0335483870968,28.8096774193548,29.1022580645161,29.4967741935484,28.8612903225806,28.9232258064516,29.1187096774193,28.8629032258065,28.8258064516129,28.7716129032258,28.8990322580645,28.9593548387097,28.9067741935484,28.7841935483871,28.4948387096774,28.9454838709677,28.7196774193548
"1960-02-29",26.6234482758621,26.8872413793103,26.6006896551724,27.718275862069,30.9513793103448,33.251724137931,32.4406896551724,31.39,31.7496551724138,31.701724137931,31.29,30.978275862069,30.9755172413793,25.5955172413793,26.3703448275862,26.9379310344828,28.4927586206897,30.7679310344828,32.3437931034483,32.4475862068966,31.4541379310345,31.1858620689655,31.5231034482759,31.0879310344828,30.6962068965517,30.6755172413793,30.6034482758621,24.1955172413793,25.6003448275862,24.308275862069,27.6351724137931,31.9113793103448,31.5186206896552,31.5489655172414,29.3224137931034,30.9403448275862,30.6886206896552,30.4341379310345,30.588275862069,30.6244827586207,22.6010344827586,25.6206896551724,25.2475862068965,27.3413793103448,29.5803448275862,31.5924137931034,30.3944827586207,28.4631034482759,28.2468965517241,29.2075862068966,28.9827586206897,30.0031034482759,30.5389655172414,21.521724137931,23.9465517241379,24.8686206896552,26.0655172413793,27.5613793103448,29.0465517241379,29.5748275862069,30.0541379310345,27.4637931034483,25.1375862068966,27.9324137931034,28.3003448275862,29.1431034482759,29.8751724137931,30.0931034482759,26.4658620689655,29.7841379310345,30.3365517241379,29.5544827586207,29.741724137931,29.8865517241379,28.5079310344828,25.358275862069,26.9275862068965,27.5655172413793,28.2786206896552,29.5758620689655,32.5920689655172,31.7179310344828,30.1727586206897,31.0720689655172,29.4362068965517,25.3010344827586,26.1896551724138,27.7055172413793,27.4834482758621,28.0162068965517,27.0679310344828,26.2372413793103,27.4275862068966,28.0106896551724,26.3620689655172,27.2455172413793,28.02,27.1106896551724,28.1024137931035,28.6593103448276,28.2593103448276,27.9506896551724,28.2951724137931,28.9334482758621,26.6555172413793,27.0231034482759,27.7544827586207,28.7862068965517,29.9603448275862,28.3089655172414,28.6541379310345,28.9996551724138,29.1724137931034,27.8613793103448,28.5713793103448,29.091724137931,29.1265517241379,28.7634482758621,28.9096551724138,29.2586206896552,29.4103448275862,28.5041379310345,28.3403448275862,28.6344827586207,29.2606896551724,29.2493103448276,29.1831034482759,29.4106896551724,29.9365517241379,29.87,28.5272413793103,28.4603448275862,28.6986206896552,28.7144827586207,29.4044827586207,29.4120689655172,29.8,30.1558620689655,30.04,28.4341379310345,28.558275862069,29.0327586206897,30.1734482758621,30.11,28.4241379310345,28.8406896551724,29.3831034482759,28.6613793103448,28.9562068965517,28.981724137931,27.4765517241379,27.5003448275862,27.971724137931,28.8724137931034,28.9220689655172,27.3472413793103,27.0244827586207,28.4210344827586,25.5272413793103,26.4334482758621
"1960-03-31",28.7029032258065,28.8861290322581,28.0303225806452,28.8825806451613,31.9474193548387,34.0890322580645,33.8548387096774,32.3916129032258,32.8261290322581,32.8532258064516,32.5054838709677,32.2332258064516,32.2412903225806,27.1635483870968,27.8316129032258,27.9722580645161,29.3803225806452,31.5958064516129,33.161935483871,33.3370967741935,32.4370967741935,32.27,32.7029032258064,32.3416129032258,32.0022580645161,32.0429032258064,32.0038709677419,25.3693548387097,26.421935483871,25.1325806451613,28.33,32.6622580645161,32.2274193548387,32.3861290322581,30.2548387096774,32.0022580645161,32.0174193548387,31.8051612903226,31.9496774193548,31.9890322580645,23.5087096774194,25.5712903225806,25.2422580645161,27.6874193548387,30.1887096774194,32.2032258064516,31.3141935483871,29.6651612903226,29.5070967741935,30.638064516129,30.6861290322581,31.5445161290323,31.9725806451613,22.3129032258064,24.6551612903226,24.98,25.1829032258065,27.0193548387097,29.1516129032258,30.2574193548387,31.1306451612903,28.8829032258065,26.4983870967742,29.4416129032258,30.3129032258064,30.9932258064516,31.6009677419355,31.7093548387097,27.6735483870968,31.0764516129032,30.6287096774194,29.5829032258064,30.1790322580645,30.8338709677419,29.8674193548387,26.9761290322581,28.8083870967742,29.8993548387097,30.4745161290323,31.6645161290323,34.8245161290323,33.3845161290323,31.2909677419355,32.19,30.8854838709678,27.0112903225807,28.2216129032258,29.9112903225806,30.0738709677419,29.7174193548387,29.7632258064516,28.5361290322581,29.8761290322581,31.0458064516129,29.4603225806452,30.3206451612903,31.0909677419355,30.1648387096774,31.1454838709677,31.7090322580645,31.3222580645161,31.0687096774194,31.4370967741936,32.0967741935484,29.6951612903226,30.1912903225806,30.9996774193548,31.8570967741935,32.9696774193548,31.4316129032258,31.7890322580645,32.1587096774194,32.3612903225806,31.0487096774193,31.8903225806452,32.2,32.2958064516129,31.8896774193548,32.0709677419355,32.4706451612903,32.6503225806452,32.2190322580645,31.9761290322581,32.1222580645161,32.6912903225806,32.6074193548387,32.4116129032258,32.61,33.2345161290323,33.1516129032258,32.3512903225806,32.2254838709678,32.3351612903226,32.7790322580645,32.9970967741935,32.7822580645161,33.0490322580645,33.5141935483871,33.3174193548387,32.0225806451613,32.2374193548387,32.4109677419355,33.0574193548387,32.8148387096774,31.9974193548387,32.1483870967742,32.6451612903226,31.8348387096774,31.5367741935484,32.0125806451613,30.1622580645161,30.0125806451613,30.6577419354839,31.6716129032258,31.8290322580645,29.9564516129032,29.1064516129032,31.411935483871,25.9658064516129,27.8787096774194
"1960-04-30",29.0536666666667,29.3363333333333,29.1146666666667,30.266,33.5143333333333,35.8336666666667,35.1636666666667,34.0363333333333,34.466,34.4863333333333,34.126,33.847,33.8566666666667,28.209,28.9586666666667,29.482,31.0533333333333,33.344,34.8813333333333,35.0476666666667,34.129,33.937,34.3443333333333,33.9666666666667,33.6126666666667,33.6426666666667,33.6656666666667,26.8846666666667,28.334,27.16,30.342,34.6283333333333,34.083,34.1746666666667,32.0183333333333,33.7103333333333,33.7073333333333,33.529,33.5613333333333,33.6003333333333,25.683,28.4203333333333,28.0413333333333,30.1726666666667,32.5293333333333,34.432,33.3276666666667,31.6063333333333,31.4016666666667,32.7353333333333,32.5563333333333,33.2873333333333,33.6263333333333,23.4536666666667,26.7326666666667,27.7923333333333,28.699,30.305,31.96,32.8433333333333,33.5183333333333,31.73,29.056,31.7986666666667,32.4106666666667,32.9616666666667,33.4373333333333,33.4783333333333,29.479,33.3833333333333,33.5026666666667,32.7046666666667,33.224,33.7626666666667,32.7193333333333,29.982,31.7986666666667,32.2253333333333,32.6876666666667,33.7306666666667,36.821,35.7276666666667,34.0573333333333,35.0026666666667,33.6783333333333,29.9873333333333,31.1363333333333,32.8226666666667,32.4523333333333,32.3843333333333,32.3366666666667,31.3796666666667,32.7066666666667,33.7136666666667,32.1273333333333,32.968,33.7633333333333,32.856,33.79,34.3106666666667,33.9916666666667,33.722,34.045,34.648,32.337,32.7646666666667,33.4726666666667,34.4813333333333,35.4803333333333,34.1953333333333,34.4946666666667,34.751,34.8613333333333,33.7093333333333,34.336,34.8473333333333,35.0186666666667,34.658,34.7123333333333,34.9296666666667,35.0203333333333,33.8286666666667,33.8086666666667,34.408,35.2996666666667,35.4916666666667,35.188,35.12,35.422,35.3626666666667,33.9153333333333,34.0183333333333,34.5853333333333,35.5766666666667,36.0606666666666,35.6543333333333,35.48,35.6043333333333,35.5476666666667,34.025,34.273,34.6913333333333,35.529,35.3466666666667,34.1546666666667,34.3433333333333,35.2446666666667,34.1156666666667,33.984,34.3456666666667,32.5773333333333,32.492,33.0923333333333,34.0666666666667,34.2066666666667,32.391,31.7133333333333,33.6593333333333,29.083,30.6853333333333
"1960-05-31",29.6374193548387,29.9661290322581,29.85,31.0954838709677,34.3970967741935,36.7348387096774,36.0383870967742,34.96,35.3658064516129,35.3593548387097,34.9783870967742,34.6848387096774,34.6903225806452,28.8725806451613,29.5929032258065,30.2241935483871,31.851935483871,34.1864516129032,35.7951612903226,35.9590322580645,35.0245161290322,34.8096774193548,35.1935483870968,34.7967741935484,34.4287096774194,34.4377419354839,34.4561290322581,27.7458064516129,29.1567741935484,27.8722580645161,31.2651612903226,35.5929032258064,34.9677419354839,35.0587096774194,32.8922580645161,34.5677419354839,34.4622580645161,34.2883870967742,34.3596774193548,34.3964516129032,26.6948387096774,29.2970967741935,28.9045161290323,31.0283870967742,33.3012903225806,35.3848387096774,34.138064516129,32.27,32.0870967741935,33.3167741935484,33.1983870967742,34.0041935483871,34.3916129032258,24.3354838709677,27.7603225806452,28.7012903225806,29.5190322580645,31.1470967741935,32.84,33.6254838709677,34.2548387096774,32.2245161290323,29.4841935483871,32.2545161290322,32.9132258064516,33.5374193548387,34.0764516129032,34.1638709677419,30.6412903225806,34.4658064516129,34.4322580645161,33.6329032258065,34.1558064516129,34.4141935483871,33.2432258064516,30.3158064516129,32.0116129032258,32.5877419354839,33.1096774193548,34.2087096774194,38.0664516129032,36.8670967741935,35.1587096774194,35.9974193548387,34.24,30.3103225806452,31.3961290322581,32.9954838709677,32.7161290322581,33.4032258064516,32.7448387096774,31.6041935483871,32.8958064516129,33.731935483871,32.4164516129032,33.1829032258065,33.9164516129032,33.5487096774194,34.0954838709677,34.5222580645161,34.1229032258064,33.7258064516129,34.0048387096774,34.5648387096774,33.6209677419355,33.8364516129032,34.0177419354839,34.7912903225806,35.758064516129,34.1716129032258,34.4545161290323,34.6696774193548,34.7235483870968,34.8325806451613,35.1883870967742,35.1925806451613,35.2348387096774,34.6941935483871,34.6293548387097,34.7416129032258,34.7735483870968,34.321935483871,34.4406451612903,35.17,36.2232258064516,36.2151612903226,35.5548387096774,35.0835483870968,35.0435483870968,35.0454838709677,34.6083870967742,34.6725806451613,35.5703225806452,36.5687096774194,37.3770967741935,36.4838709677419,35.4887096774194,35.1390322580645,35.231935483871,35.4525806451613,35.5038709677419,35.9125806451613,35.7638709677419,35.611935483871,36.1312903225806,36.0041935483871,37.0132258064516,35.9087096774194,35.5106451612903,36.0196774193548,33.0909677419355,33.4590322580645,34.5016129032258,35.7338709677419,35.9383870967742,32.7558064516129,32.5403225806452,35.1893548387097,30.0783870967742,31.6287096774194
"1960-06-30",26.491,26.797,26.6013333333333,27.7953333333333,31.0716666666667,33.3813333333333,33.322,32.5236666666667,33.1046666666667,33.2573333333333,33.0073333333333,32.7963333333333,32.829,25.3966666666667,26.1653333333333,26.903,28.505,30.8196666666667,33.0333333333333,33.368,32.625,32.6056666666667,33.1713333333333,32.9226666666667,32.6493333333333,32.7096666666667,32.7743333333333,24.2443333333333,25.8846666666667,24.5816666666667,28.203,32.5626666666667,32.1843333333333,32.4663333333333,30.5046666666667,32.387,32.586,32.5956666666667,32.6643333333333,32.7043333333333,23.2673333333333,25.9066666666667,25.5396666666667,27.7476666666667,30.0393333333333,32.339,31.4783333333333,29.9763333333333,29.9613333333333,31.593,31.726,32.4256666666667,32.7446666666667,22.678,25.1956666666667,25.718,26.0156666666667,27.7133333333333,29.5613333333333,30.784,31.626,30.139,27.6446666666667,30.545,31.643,32.1603333333333,32.624,32.6393333333333,28.249,31.9126666666667,31.4626666666667,30.5493333333333,31.395,31.965,31.108,28.555,30.539,31.5233333333333,31.959,32.9996666666667,35.81,34.4526666666667,32.712,33.6363333333333,32.1223333333333,28.603,29.952,31.765,31.8333333333333,31.476,31.6163333333333,30.3463333333333,31.8576666666667,33.1006666666667,31.7286666666667,32.556,33.325,32.9656666666667,33.441,33.8333333333333,33.4373333333333,33.1753333333333,33.4576666666667,34.007,33.028,33.2036666666667,33.2893333333333,34.1326666666667,34.9023333333333,33.7006666666667,33.9683333333333,34.1393333333333,34.1683333333333,34.266,34.1246666666667,34.585,34.37,34.117,34.135,34.1933333333333,34.2016666666667,33.06,33.213,33.782,34.289,34.341,34.149,34.1393333333333,34.3283333333333,34.2906666666667,33.2606666666667,33.2046666666667,33.7716666666667,34.183,34.332,34.2123333333333,34.3166666666667,34.4556666666667,34.5006666666667,34.0763333333333,33.8643333333333,33.958,34.7353333333333,34.7293333333333,34.6556666666667,34.6073333333333,35.1616666666667,34.6886666666667,34.5996666666667,34.763,33.5746666666667,33.4946666666667,33.945,34.7416666666667,34.895,33.4256666666667,32.8996666666667,34.7443333333333,30.9216666666667,32.1116666666667
"1960-07-31",26.621935483871,26.8522580645161,26.4396774193548,27.4958064516129,30.7006451612903,32.9716129032258,32.7316129032258,31.9951612903226,32.5161290322581,32.6167741935484,32.3245161290323,32.0877419354839,32.1112903225806,25.348064516129,26.1429032258065,26.7287096774194,28.2516129032258,30.5003225806452,32.6651612903226,32.9196774193548,32.1006451612903,32.0093548387097,32.5135483870968,32.2158064516129,31.9103225806452,31.9651612903226,32.0170967741935,24.1293548387097,25.9041935483871,24.5387096774194,28.1154838709677,32.4403225806452,31.8287096774194,32.0293548387097,29.9864516129032,31.7909677419355,31.9738709677419,31.868064516129,31.9051612903226,31.9454838709677,23.0764516129032,25.8177419354839,25.4664516129032,27.7177419354839,29.9803225806452,32.24,31.3264516129032,29.6764516129032,29.5622580645161,31.0216129032258,31.0529032258065,31.71,32.0003225806452,22.521935483871,25.0751612903226,25.6287096774194,25.8596774193548,27.5935483870968,29.5067741935484,30.7667741935484,31.6158064516129,30.0093548387097,27.241935483871,30.0761290322581,31.0451612903226,31.5203225806452,31.9467741935484,31.9390322580645,28.2229032258065,31.9806451612903,31.43,30.4467741935484,31.2574193548387,31.8664516129032,30.9835483870968,28.2661290322581,30.2329032258065,31.0058064516129,31.401935483871,32.4041935483871,36.018064516129,34.5306451612903,32.6454838709677,33.4832258064516,32.0164516129032,28.3122580645161,29.6425806451613,31.4425806451613,31.3558064516129,31.2561290322581,31.4222580645161,30.0283870967742,31.5251612903226,32.7016129032258,31.4309677419355,32.2341935483871,32.9838709677419,32.6409677419355,33.1438709677419,33.5103225806452,33.0964516129032,32.7790322580645,33.0358064516129,33.5596774193548,32.5270967741936,32.9422580645161,33.0651612903226,33.8387096774194,34.6090322580645,33.308064516129,33.5616129032258,33.6983870967742,33.6916129032258,34.1483870967742,33.9406451612903,34.2983870967742,34.0674193548387,33.7477419354839,33.7003225806452,33.6890322580645,33.6609677419355,32.4348387096774,32.7348387096774,33.5367741935484,34.2054838709677,34.2632258064516,33.9070967741935,33.6954838709677,33.7041935483871,33.6893548387097,32.6541935483871,32.7506451612903,33.5458064516129,34.1996774193548,34.5135483870968,34.1703225806452,33.8816129032258,33.7703225806452,33.8287096774193,33.6477419354839,33.4009677419355,33.6958064516129,33.9390322580645,33.8770967741935,34.2816129032258,33.9303225806452,34.2235483870968,34.1251612903226,33.9329032258065,33.9238709677419,32.8448387096774,32.8112903225806,33.2422580645161,33.9338709677419,33.771935483871,32.6961290322581,32.2967741935484,33.5664516129032,30.7522580645161,31.6796774193548
"1960-08-31",26.4093548387097,26.6732258064516,26.4045161290323,27.5425806451613,30.7945161290323,33.0909677419355,32.6983870967742,31.9883870967742,32.4654838709677,32.5261290322581,32.2006451612903,31.9429032258065,31.9603225806452,25.2516129032258,26.0493548387097,26.7503225806452,28.321935483871,30.6054838709677,32.7116129032258,32.938064516129,32.0764516129032,31.9406451612903,32.3990322580645,32.0635483870968,31.7370967741936,31.7874193548387,31.8561290322581,24.1838709677419,25.9058064516129,24.5348387096774,28.1774193548387,32.5074193548387,31.8829032258064,32.0429032258065,29.9538709677419,31.7122580645161,31.8170967741936,31.7045161290322,31.7138709677419,31.7541935483871,23.1793548387097,25.9729032258065,25.6106451612903,27.7964516129032,30.0116129032258,32.3122580645161,31.2570967741935,29.6190322580645,29.4712903225806,30.9541935483871,30.9090322580645,31.5438709677419,31.8187096774194,22.5948387096774,25.218064516129,25.7858064516129,26.1538709677419,27.8238709677419,29.6245161290323,30.8070967741935,31.6135483870968,30.0935483870968,27.2906451612903,30.0745161290323,30.9454838709677,31.3967741935484,31.8022580645161,31.7796774193548,28.2441935483871,31.8958064516129,31.518064516129,30.6103225806452,31.3941935483871,31.9564516129032,31.0641935483871,28.3970967741935,30.3448387096774,30.948064516129,31.3248387096774,32.3058064516129,35.7277419354839,34.3945161290323,32.7658064516129,33.561935483871,32.0712903225806,28.4351612903226,29.7425806451613,31.5296774193548,31.3209677419355,31.3187096774194,31.3509677419355,30.1029032258065,31.5906451612903,32.6809677419355,33.0064516129032,32.5429032258065,32.9470967741935,32.5009677419355,33.351935483871,33.4909677419355,33.0929032258064,32.7835483870968,33.0061290322581,33.4893548387097,33.2290322580645,33.4029032258065,32.591935483871,33.7509677419355,34.5648387096774,33.3616129032258,33.5864516129032,33.6532258064516,33.5832258064516,33.6977419354839,33.5674193548387,34.1370967741936,34.0403225806452,33.7738709677419,33.6832258064516,33.5464516129032,33.4548387096774,32.6725806451613,32.6687096774194,33.2264516129032,33.9516129032258,34.0638709677419,33.8109677419355,33.5167741935484,33.3409677419355,33.3167741935484,32.8196774193548,32.7929032258065,33.4474193548387,33.7383870967742,34.1054838709677,33.8267741935484,33.5483870967742,33.3103225806452,33.4054838709677,33.6851612903226,33.3841935483871,33.5058064516129,33.6116129032258,33.5932258064516,34.0316129032258,33.7435483870968,34,33.83,33.4609677419355,33.7348387096774,32.4332258064516,32.4122580645161,32.9493548387097,33.5912903225806,33.6470967741935,32.2564516129032,31.7287096774193,33.3790322580645,29.5287096774194,30.8683870967742
