"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P60","P61","P62","P63","P64","P65","P66","P67","P68","P69","P70","P71","P72","P73","P74","P75","P76","P77","P78","P79","P80","P81","P82","P83","P84","P85","P86","P87","P88","P89","P90","P91","P92","P93","P94","P95","P96","P97","P98","P99","P100","P101","P102","P103","P104","P105","P106","P107","P108","P109","P110","P111","P112","P113","P114","P115","P116","P117","P118","P119","P120","P121","P122","P123","P124","P125","P126","P127","P128","P129","P130","P131","P132","P133","P134","P135","P136","P137","P138","P139","P140","P141","P142","P143","P144","P145","P146","P147","P148","P149","P150","P151","P152","P153","P154","P155","P156","P157","P158","P159","P160"
"Lon",-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-90.4375,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-90.5625,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-92.4375,-92.3125,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-90.8125,-90.6875,-92.3125,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-90.9375,-92.1875,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.6875,-91.5625,-91.4375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.6875,-91.5625,-91.4375,-91.3125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-91.1875,-91.0625,-92.0625,-91.9375,-91.8125,-92.1875,-92.0625,-91.9375,-92.5625,-92.4375,-92.3125,-92.0625,-91.9375,-92.5625,-92.4375,-92.0625,-92.5625,-92.4375
"Lat",16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.3125,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.4375,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.5625,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.6875,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.8125,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,16.9375,17.0625,17.0625,17.0625,17.0625,17.0625,17.1875,17.1875,17.1875,17.3125,17.3125,17.3125,17.3125,17.3125,17.3125,17.3125,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.4375,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.5625,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.6875,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.8125,17.9375,17.9375,17.9375,17.9375,17.9375,18.0625,18.0625,18.0625,18.1875,18.1875,18.1875,18.3125,18.3125,18.3125,18.3125,18.3125,18.4375,18.4375,18.4375,18.5625,18.5625
"1960-01-31",9.19,9.39,9.07129032258065,10.1129032258065,13.328064516129,15.5854838709677,16.8322580645161,16.9322580645161,17.9587096774194,18.5245161290323,18.6032258064516,18.6006451612903,18.7025806451613,7.59709677419355,8.54806451612903,9.45516129032258,10.9725806451613,13.2054838709677,16.7767741935484,17.5,17.2090322580645,17.6609677419355,18.6674193548387,18.7883870967742,18.7454838709677,18.8377419354839,18.8612903225806,7.5558064516129,8.31064516129032,6.95677419354839,10.7316129032258,15.0051612903226,16.0341935483871,16.7058064516129,15.1970967741936,17.5487096774194,18.4367741935484,18.7067741935484,18.9383870967742,18.9770967741935,6.10129032258064,8.52161290322581,8.18612903225806,10.2093548387097,12.3293548387097,14.7909677419355,15.0777419354839,14.8603225806452,15.1916129032258,17.1409677419355,17.7712903225806,18.5803225806452,18.9764516129032,7.06258064516129,8.66258064516129,8.66709677419355,9.2058064516129,10.6058064516129,12.0403225806452,13.7903225806452,14.8738709677419,13.4248387096774,12.5141935483871,15.7064516129032,17.481935483871,18.1106451612903,18.6729032258065,18.7567741935484,11.5554838709677,13.6412903225806,13.8316129032258,13.4945161290323,14.2032258064516,14.9138709677419,14.3438709677419,13.0958064516129,15.1816129032258,17.158064516129,17.6822580645161,18.8216129032258,16.1874193548387,15.938064516129,14.678064516129,16.401935483871,15.2287096774194,13.2174193548387,14.7116129032258,16.5732258064516,17.3583870967742,14.6093548387097,15.4612903225806,15.2848387096774,16.8348387096774,18.2629032258065,16.8332258064516,17.7832258064516,18.5148387096774,17.328064516129,18.6329032258064,19.2877419354839,18.74,18.2638709677419,18.4741935483871,18.9712903225806,16.9632258064516,17.2483870967742,17.7903225806452,19.3277419354839,20.8009677419355,18.6193548387097,18.9051612903226,19.0709677419355,19.05,17.9651612903226,18.5867741935484,19.5364516129032,19.5745161290323,19.0374193548387,19.0116129032258,18.9861290322581,18.9425806451613,18.4083870967742,18.3041935483871,18.5203225806452,19.1393548387097,19.5035483870968,19.3051612903226,19.0361290322581,18.8967741935484,18.5687096774194,18.5761290322581,18.4738709677419,18.8367741935484,18.4109677419355,19.4838709677419,19.238064516129,19.0629032258065,18.7532258064516,18.5035483870968,19.0929032258064,18.9958064516129,18.5625806451613,17.7974193548387,17.5106451612903,19.5216129032258,19.2603225806452,18.6090322580645,19.8751612903226,20.2796774193548,19.5332258064516,19.0803225806452,19.2603225806452,19.7167741935484,20.0016129032258,19.64,18.9783870967742,19.2670967741936,20.0070967741935,19.1148387096774,19.3083870967742
"1960-02-29",8.67448275862069,8.92620689655172,8.70724137931034,9.81689655172414,13.0679310344828,15.32,16.6741379310345,16.8413793103448,17.8241379310345,18.3493103448276,18.3968965517241,18.3744827586207,18.4693103448276,6.69827586206897,7.69931034482759,8.9651724137931,10.528275862069,12.8020689655172,16.6289655172414,17.351724137931,17.0458620689655,17.4710344827586,18.45,18.5427586206896,18.4813793103448,18.5386206896552,18.5006896551724,6.55862068965517,7.38034482758621,6.02310344827586,10.2393103448276,14.5762068965517,15.7741379310345,16.4744827586207,14.9731034482759,17.3186206896552,18.0293103448276,18.2555172413793,18.6368965517241,18.6734482758621,4.8651724137931,7.49551724137931,7.18172413793104,9.22103448275862,11.3362068965517,14.201724137931,14.3579310344828,14.1706896551724,14.5779310344828,16.2562068965517,16.978275862069,18.0231034482759,18.5837931034483,5.69310344827586,7.38862068965517,7.53551724137931,8.20758620689655,9.59068965517241,11.0055172413793,12.7589655172414,13.8231034482759,11.7393103448276,11.1693103448276,14.4803448275862,16.251724137931,17.1175862068966,17.8903448275862,18.1179310344828,10.2510344827586,12.4179310344828,12.7379310344828,12.3844827586207,12.9579310344828,13.4620689655172,12.7051724137931,11.1555172413793,13.1051724137931,15.481724137931,16.2072413793103,17.5575862068965,14.821724137931,14.6444827586207,13.3279310344828,15.048275862069,13.6213793103448,11.2741379310345,12.6179310344828,14.3675862068965,15.4372413793103,13.0941379310345,13.4006896551724,13.1389655172414,14.5531034482759,15.7755172413793,14.5162068965517,15.4051724137931,16.0558620689655,14.9868965517241,16.3727586206897,17.108275862069,16.2989655172414,15.6372413793103,15.8696551724138,16.4251724137931,14.5686206896552,14.9448275862069,15.4296551724138,17.108275862069,19.0575862068966,15.6768965517241,16.0720689655172,16.4289655172414,16.528275862069,15.6968965517241,16.2486206896552,17.1920689655172,17.0996551724138,16.1444827586207,16.2393103448276,16.4689655172414,16.5406896551724,15.6748275862069,15.6575862068966,16.0437931034483,16.7289655172414,16.9048275862069,16.5337931034483,16.4724137931035,16.6679310344828,16.2879310344828,15.8758620689655,15.741724137931,16.2696551724138,15.8062068965517,16.8865517241379,16.691724137931,16.7162068965517,16.6293103448276,16.2168965517241,16.6041379310345,16.5820689655172,16.22,15.371724137931,14.9741379310345,17.1758620689655,16.8989655172414,16.271724137931,17.6479310344828,18.2351724137931,17.2944827586207,15.1731034482759,15.5810344827586,16.5344827586207,17.8268965517241,17.3286206896552,14.9048275862069,14.9331034482759,17.5444827586207,13.3586206896552,14.3562068965517
"1960-03-31",10.0690322580645,10.3229032258065,10.1909677419355,11.391935483871,14.6916129032258,17.0164516129032,18.3554838709677,18.37,19.461935483871,20.0838709677419,20.2087096774194,20.2338709677419,20.3467741935484,9.00838709677419,9.81,10.66,12.2641935483871,14.5677419354839,18.0809677419355,18.8783870967742,18.6622580645161,19.1848387096774,20.2535483870968,20.4296774193548,20.4135483870968,20.4896774193548,20.4858064516129,9.08677419354839,9.66806451612903,8.17548387096774,11.9138709677419,16.1990322580645,17.3645161290323,18.1016129032258,16.6793548387097,19.0970967741935,19.9964516129032,20.3096774193548,20.62,20.6570967741935,7.77516129032258,9.98548387096774,9.60709677419355,11.6051612903226,13.6029032258065,15.9783870967742,16.3077419354839,16.1629032258065,16.5716129032258,18.541935483871,19.1887096774194,20.1248387096774,20.608064516129,7.17129032258064,9.39290322580645,9.79870967741936,10.6574193548387,12.0525806451613,13.4445161290323,14.9729032258065,15.9954838709677,14.4367741935484,13.701935483871,16.9432258064516,18.6651612903226,19.4203225806452,20.0945161290323,20.2548387096774,12.2009677419355,14.6590322580645,15.0732258064516,14.6661290322581,15.3061290322581,16.0551612903226,15.3803225806452,13.9312903225806,15.9535483870968,18.1022580645161,18.7338709677419,19.9832258064516,17.1545161290323,16.8532258064516,15.6838709677419,17.3609677419355,16.271935483871,14.0493548387097,15.4525806451613,17.2638709677419,18.1638709677419,15.3570967741935,16.1916129032258,15.9916129032258,17.4783870967742,18.6583870967742,17.5187096774194,18.4003225806452,19.0738709677419,17.7774193548387,19.3583870967742,20.0064516129032,19.2896774193548,18.6112903225807,18.7493548387097,19.1829032258064,17.3145161290323,18.0406451612903,18.7151612903226,20.0825806451613,21.7712903225807,18.8677419354839,19.148064516129,19.271935483871,19.1770967741935,19.0970967741935,19.7793548387097,20.2441935483871,20.15,19.331935483871,19.1858064516129,19.0309677419355,18.9129032258065,19.1874193548387,19.1229032258064,19.6512903225806,20.3461290322581,20.0945161290323,19.2438709677419,18.7770967741935,18.5058064516129,18.5145161290323,19.2693548387097,19.1332258064516,19.47,19.8296774193548,20.2206451612903,19.6596774193548,18.9222580645161,18.3729032258065,18.1961290322581,19.4270967741935,19.5567741935484,19.7441935483871,17.8483870967742,17.4506451612903,19.5987096774194,19.5032258064516,19.3461290322581,20.0190322580645,20.5409677419355,19.7858064516129,17.9177419354839,17.8793548387097,18.7229032258065,20.2503225806452,19.9393548387097,17.6829032258064,16.951935483871,20.3451612903226,13.8496774193548,15.7429032258065
"1960-04-30",10.6996666666667,11.016,11.0456666666667,12.3506666666667,15.7016666666667,18.0633333333333,19.2253333333333,19.066,20.1576666666667,20.778,20.8993333333333,20.924,21.0373333333333,10.1566666666667,10.9196666666667,11.6366666666667,13.2956666666667,15.6406666666667,18.816,19.6076666666667,19.381,19.893,20.9546666666667,21.121,21.1053333333333,21.2003333333333,21.2556666666667,10.063,10.8373333333333,9.411,12.8636666666667,17.1313333333333,18.1656666666667,18.8733333333333,17.4083333333333,19.8086666666667,20.796,21.1203333333333,21.3256666666667,21.365,9.03733333333333,11.401,10.983,12.901,14.927,17.0416666666667,17.313,17.2216666666667,17.5716666666667,19.751,20.277,21.0273333333333,21.3833333333333,8.185,10.6616666666667,11.165,12.0846666666667,13.4716666666667,14.8163333333333,16.3366666666667,17.376,16.356,15.317,18.4433333333333,20.092,20.6606666666667,21.164,21.2156666666667,13.4606666666667,16.0613333333333,16.49,16.1616666666667,16.9603333333333,17.8083333333333,17.272,15.994,18.0936666666667,19.8773333333333,20.3476666666667,21.4176666666667,18.6146666666667,18.379,17.3506666666667,19.1526666666667,18.146,16.1273333333333,17.62,19.4893333333333,20.1096666666667,17.3423333333333,18.3436666666667,18.2163333333333,19.7553333333333,21.1036666666667,19.8023333333333,20.7343333333333,21.4533333333333,20.1846666666667,21.637,22.3326666666667,21.6673333333333,21.0773333333333,21.2163333333333,21.6453333333333,19.5916666666667,20.1356666666667,20.8673333333333,22.3473333333333,24.0163333333333,21.3913333333333,21.6583333333333,21.751,21.644,20.9193333333333,21.6816666666667,22.4933333333333,22.427,21.788,21.688,21.5046666666667,21.379,21.5476666666667,21.3343333333333,21.5976666666667,21.9793333333333,21.795,21.242,21.0466666666667,20.915,20.9103333333333,21.61,21.3913333333333,21.3336666666667,21.291,21.2656666666667,21.1556666666667,21.0623333333333,20.849,20.7836666666667,21.566,21.6233333333333,21.5713333333333,20.5286666666667,20.391,21.6136666666667,21.614,21.222,21.9936666666667,22.4803333333333,21.8366666666667,21.6713333333333,21.727,21.929,22.2113333333333,21.938,21.6323333333333,21.7096666666667,22.2543333333333,21.4946666666667,21.689
"1960-05-31",12.1238709677419,12.4938709677419,12.6570967741936,14.0741935483871,17.4832258064516,19.888064516129,20.6893548387097,20.2964516129032,21.298064516129,21.8335483870968,21.8874193548387,21.8677419354839,21.9654838709677,12.0167741935484,12.6877419354839,13.311935483871,15.0335483870968,17.4270967741935,20.1903225806452,20.9051612903226,20.5835483870968,20.9983870967742,21.9654838709677,22.0532258064516,21.9890322580645,22.0732258064516,22.1587096774194,11.9870967741935,12.7525806451613,11.3048387096774,14.6377419354839,18.9238709677419,19.5532258064516,20.1683870967742,18.6025806451613,20.8996774193548,21.7632258064516,22.0316129032258,22.1764516129032,22.2158064516129,11.3338709677419,13.4022580645161,12.9545161290323,14.891935483871,16.9183870967742,18.878064516129,18.8512903225806,18.4777419354839,18.7364516129032,20.8751612903226,21.2632258064516,21.9483870967742,22.2587096774194,10.1209677419355,12.8264516129032,13.2722580645161,13.9764516129032,15.4254838709677,16.8448387096774,18.1929032258065,19.1651612903226,18.2177419354839,16.6970967741936,19.7170967741935,21.2035483870968,21.7025806451613,22.1474193548387,22.1583870967742,15.7316129032258,18.4693548387097,18.6590322580645,18.2287096774194,19.0532258064516,19.7616129032258,19.1503225806452,17.62,19.6654838709677,21.1129032258065,21.5225806451613,22.5341935483871,21.3122580645161,20.8664516129032,19.6548387096774,21.3151612903226,20.0632258064516,17.7422580645161,19.2025806451613,21.0322580645161,21.4061290322581,19.5,20.1632258064516,19.7683870967742,21.2970967741936,22.5641935483871,21.321935483871,22.2370967741935,22.9438709677419,21.9916129032258,23.1541935483871,23.8077419354839,23.17,22.5529032258064,22.6870967741935,23.1067741935484,21.7503225806452,22.0451612903226,22.5664516129032,23.8638709677419,25.4635483870968,22.8848387096774,23.1429032258064,23.2190322580645,23.0958064516129,22.7203225806452,23.5570967741935,24.0487096774193,24.0277419354839,23.3303225806452,23.1687096774194,22.9483870967742,22.7996774193548,23.63,23.3722580645161,23.6129032258064,24.1177419354839,23.8609677419355,23.1116129032258,22.6541935483871,22.3277419354839,22.3529032258065,23.7438709677419,23.5645161290322,23.5948387096774,23.6464516129032,23.8348387096774,23.3764516129032,22.7277419354839,22.198064516129,22.1312903225806,23.7709677419355,23.8532258064516,23.8596774193548,21.9154838709677,21.65,23.9222580645161,23.6912903225806,23.3290322580645,24.0287096774194,24.121935483871,23.7503225806452,23.5725806451613,23.7912903225806,23.96,24.0041935483871,23.7970967741935,23.571935483871,23.731935483871,24.1377419354839,23.6370967741935,23.7583870967742
"1960-06-30",13.8843333333333,14.1773333333333,14.0516666666667,15.281,18.5863333333333,20.9236666666667,21.4523333333333,21,21.8513333333333,22.25,22.196,22.109,22.1846666666667,13.1913333333333,13.9336666666667,14.5416666666667,16.1593333333333,18.478,21.1443333333333,21.7083333333333,21.231,21.4856666666667,22.3083333333333,22.278,22.1386666666667,22.2046666666667,22.272,12.5663333333333,13.7736666666667,12.3546666666667,15.7893333333333,20.0756666666667,20.4286666666667,20.9153333333333,19.2023333333333,21.347,22.025,22.134,22.2646666666667,22.3043333333333,11.5663333333333,14.099,13.6963333333333,15.7396666666667,17.8483333333333,19.952,19.7066666666667,19.0736666666667,19.211,20.998,21.3453333333333,22.0343333333333,22.3486666666667,11.119,13.8013333333333,14.051,14.536,16.0466666666667,17.6073333333333,19.0176666666667,19.999,18.627,16.8686666666667,19.8536666666667,21.2786666666667,21.7846666666667,22.239,22.25,16.7326666666667,19.4343333333333,19.437,18.8823333333333,19.6453333333333,20.2746666666667,19.578,17.843,19.896,21.184,21.5986666666667,22.6263333333333,22.4136666666667,21.7976666666667,20.4153333333333,21.893,20.5233333333333,17.9523333333333,19.379,21.2206666666667,21.4966666666667,19.9863333333333,20.5173333333333,19.9083333333333,21.4413333333333,22.6716666666667,21.503,22.3766666666667,23.0703333333333,22.2723333333333,23.322,23.8916666666667,23.2346666666667,22.6686666666667,22.8296666666667,23.2773333333333,22.2566666666667,22.6783333333333,23.019,24.0396666666667,25.4673333333333,23.009,23.277,23.385,23.299,23.5463333333333,24.0726666666667,24.2863333333333,24.085,23.4423333333333,23.3303333333333,23.182,23.0716666666667,24.0213333333333,23.8243333333333,24.0136666666667,24.2796666666667,23.8476666666667,23.2,22.8836666666667,22.7113333333333,22.7233333333333,24.001,23.865,23.8016666666667,23.698,23.7293333333333,23.3856666666667,22.9806666666667,22.639,22.5586666666667,23.776,23.864,23.8666666666667,22.342,22.1363333333333,23.657,23.659,23.294,23.951,24.3803333333333,23.8156666666667,23.385,23.6203333333333,23.8463333333333,24.1173333333333,23.84,23.2946666666667,23.521,24.008,23.4546666666667,23.5666666666667
"1960-07-31",13.0845161290323,13.4029032258064,13.3954838709677,14.6945161290323,18.0425806451613,20.3974193548387,20.8474193548387,20.4822580645161,21.3125806451613,21.6945161290323,21.6251612903226,21.5283870967742,21.5993548387097,12.4867741935484,13.2348387096774,13.9451612903226,15.6032258064516,17.9483870967742,20.6461290322581,21.2003225806452,20.7038709677419,20.94,21.741935483871,21.6912903225806,21.541935483871,21.6051612903226,21.6774193548387,12.1516129032258,13.1932258064516,11.7251612903226,15.2545161290323,19.5448387096774,19.9416129032258,20.4096774193548,18.6745161290323,20.798064516129,21.4235483870968,21.5377419354839,21.6596774193548,21.6996774193548,11.1793548387097,13.6632258064516,13.2506451612903,15.2258064516129,17.2509677419355,19.4164516129032,19.0925806451613,18.4996774193548,18.6254838709677,20.4445161290323,20.7332258064516,21.4254838709677,21.7409677419355,10.4748387096774,13.2429032258065,13.5609677419355,14.2409677419355,15.6832258064516,17.1177419354839,18.4596774193548,19.3993548387097,18.0841935483871,16.3693548387097,19.3251612903226,20.6625806451613,21.1693548387097,21.6261290322581,21.6387096774194,16.0509677419355,18.6661290322581,18.8851612903226,18.3896774193548,19.0858064516129,19.7438709677419,19.0316129032258,17.341935483871,19.3687096774194,20.5603225806452,20.9777419354839,22.0083870967742,21.4061290322581,20.9296774193548,19.6932258064516,21.2061290322581,19.9474193548387,17.4412903225806,18.8377419354839,20.6625806451613,20.8696774193548,19.2074193548387,19.7796774193548,19.3422580645161,20.8570967741936,22.0483870967742,20.8651612903226,21.738064516129,22.4332258064516,21.5364516129032,22.6832258064516,23.248064516129,22.6064516129032,22.0435483870968,22.2148387096774,22.6738709677419,21.4590322580645,22.0151612903226,22.4748387096774,23.3987096774194,24.8190322580645,22.3822580645161,22.6545161290323,22.778064516129,22.7077419354839,22.9322580645161,23.5703225806452,23.6496774193548,23.4793548387097,22.8267741935484,22.7193548387097,22.6012903225806,22.508064516129,23.7164516129032,23.4732258064516,23.6045161290323,23.8561290322581,23.3664516129032,22.6964516129032,22.3632258064516,22.2077419354839,22.2158064516129,23.6916129032258,23.6045161290323,23.4754838709677,23.3383870967742,23.3838709677419,22.9729032258065,22.4961290322581,22.1545161290323,22.0967741935484,23.4809677419355,23.5338709677419,23.3838709677419,21.9064516129032,21.7203225806452,23.2293548387097,23.1790322580645,22.8448387096774,23.4270967741935,23.6777419354839,23.2890322580645,23.1758064516129,23.2987096774194,23.4945161290323,23.5390322580645,23.4029032258065,23.098064516129,23.3016129032258,23.6977419354839,23.2503225806452,23.3712903225806
"1960-08-31",13.6648387096774,13.9293548387097,13.7122580645161,14.8864516129032,18.1658064516129,20.4790322580645,21.2774193548387,20.9867741935484,21.9103225806452,22.3787096774194,22.3803225806452,22.3283870967742,22.4138709677419,12.7851612903226,13.5525806451613,14.1683870967742,15.7574193548387,18.0506451612903,21.0070967741935,21.6390322580645,21.2377419354839,21.5735483870968,22.4729032258065,22.5038709677419,22.4051612903226,22.4845161290323,22.5312903225806,12.2225806451613,13.4370967741936,11.9651612903226,15.5048387096774,19.7929032258065,20.2854838709677,20.848064516129,19.2187096774194,21.448064516129,22.2067741935484,22.3893548387097,22.5567741935484,22.5964516129032,11.1658064516129,13.6825806451613,13.2938709677419,15.3693548387097,17.4461290322581,19.638064516129,19.5864516129032,18.9935483870968,19.2109677419355,21.1061290322581,21.5370967741935,22.2745161290323,22.6222580645161,10.8651612903226,13.5538709677419,13.7067741935484,14.0887096774194,15.6141935483871,17.2138709677419,18.6912903225806,19.698064516129,18.3606451612903,16.7954838709677,19.8587096774194,21.3774193548387,21.9335483870968,22.4329032258065,22.4735483870968,16.5064516129032,19.1661290322581,19.0864516129032,18.4883870967742,19.2403225806452,19.9661290322581,19.3041935483871,17.558064516129,19.6338709677419,21.1883870967742,21.6490322580645,22.7238709677419,22.1883870967742,21.5174193548387,20.288064516129,21.4954838709677,20.2503225806452,17.6687096774194,19.1209677419355,20.9816129032258,21.4545161290323,19.58,20.3148387096774,19.6641935483871,21.2145161290323,22.501935483871,22.4622580645161,22.4225806451613,22.8535483870968,22.0964516129032,23.3122580645161,23.6874193548387,23.0416129032258,22.5112903225806,22.681935483871,23.1387096774194,22.4625806451613,23.4258064516129,22.97,23.93,25.18,22.88,23.1438709677419,23.2512903225806,23.1712903225806,23.9932258064516,23.9858064516129,24.1812903225806,23.921935483871,23.3083870967742,23.2058064516129,23.0683870967742,22.9645161290323,23.7470967741935,23.6964516129032,23.8148387096774,24.0161290322581,23.791935483871,23.2906451612903,22.9222580645161,22.6909677419355,22.6125806451613,23.8087096774194,23.8061290322581,24.1396774193548,23.7793548387097,23.7690322580645,23.3948387096774,22.968064516129,22.5809677419355,22.4990322580645,24.0661290322581,23.9570967741935,23.8548387096774,22.2364516129032,22.04,24.1309677419355,24.0606451612903,23.6145161290323,24.5461290322581,25.12,24.3425806451613,23.5341935483871,23.8487096774194,24.2816129032258,24.7535483870968,24.3506451612903,23.3825806451613,23.708064516129,24.5674193548387,23.5854838709677,23.7429032258065
