FID,ET_ID,Lat,Lon
9,0,31.7838,-106.5817
10,0,31.7838,-106.5367
11,0,31.7838,-106.5349
12,0,31.7838,-106.5311
13,0,31.7838,-106.5285
14,0,31.783,-106.5277
15,0,31.7817,-106.5281
16,0,31.7804,-106.5274
17,0,31.7796,-106.5263
18,0,31.7787,-106.5254
19,0,31.7774,-106.5242
20,0,31.7754,-106.5228
21,0,31.7736,-106.5205
22,0,31.7714,-106.5171
23,0,31.7714,-106.5149
24,0,31.7694,-106.5127
25,0,31.7649,-106.5111
26,0,31.763,-106.5107
27,0,31.7606,-106.5096
28,0,31.7606,-106.5086
29,0,31.7517,-106.4941
30,0,31.7515,-106.4938
31,0,31.7503,-106.4919
32,0,31.7485,-106.4898
33,0,31.7475,-106.4871
34,0,31.7476,-106.4861
35,0,31.7477,-106.4849
36,0,31.7479,-106.4831
37,0,31.7481,-106.4822
38,0,31.7485,-106.4807
39,0,31.749,-106.4783
40,0,31.7497,-106.4757
41,0,31.7503,-106.4727
42,0,31.7513,-106.4713
43,0,31.7526,-106.4701
44,0,31.7551,-106.4694
45,0,31.7571,-106.4684
46,0,31.7585,-106.4673
47,0,31.7593,-106.4666
48,0,31.7601,-106.4651
49,0,31.7612,-106.4625
50,0,31.7642,-106.4534
51,0,31.7643,-106.4527
52,0,31.7641,-106.451
53,0,31.7624,-106.4472
54,0,31.7608,-106.4448
55,0,31.759,-106.4419
56,0,31.7569,-106.4386
57,0,31.7553,-106.4355
58,0,31.7543,-106.4331
59,0,31.7533,-106.4289
60,0,31.7533,-106.4271
61,0,31.7324,-106.3814
62,0,31.7323,-106.3813
63,0,31.7174,-106.3743
64,0,31.714,-106.3732
65,0,31.7128,-106.3722
66,0,31.7126,-106.3721
67,0,31.7124,-106.3718
68,0,31.7121,-106.3716
69,0,31.7104,-106.3693
70,0,31.7087,-106.3667
71,0,31.7077,-106.3652
72,0,31.7077,-106.3652
73,0,31.6964,-106.3494
74,0,31.6628,-106.334
75,0,31.6223,-106.3032
76,0,31.6108,-106.3025
77,0,31.5665,-106.2823
78,0,31.563,-106.2807
79,0,31.5624,-106.2806
80,0,31.561,-106.2791
81,0,31.5601,-106.2769
82,0,31.5582,-106.2737
83,0,31.5573,-106.2719
84,0,31.5428,-106.2472
85,0,31.5203,-106.2389
86,0,31.5162,-106.2378
87,0,31.5161,-106.2376
88,0,31.5158,-106.2377
89,0,31.5132,-106.2368
90,0,31.5111,-106.2348
91,0,31.5077,-106.2312
92,0,31.5073,-106.2307
93,0,31.5007,-106.2244
94,0,31.4966,-106.223
95,0,31.4815,-106.2196
96,0,31.4792,-106.2177
97,0,31.4778,-106.2167
98,0,31.4751,-106.2143
99,0,31.4676,-106.2081
100,0,31.4672,-106.2072
101,0,31.4669,-106.2069
102,0,31.465,-106.2042
103,0,31.4629,-106.2005
104,0,31.4622,-106.1991
105,0,31.4618,-106.1975
106,0,31.4616,-106.1962
107,0,31.4611,-106.1949
108,0,31.4612,-106.1946
109,0,31.4603,-106.1913
110,0,31.4599,-106.1894
111,0,31.4592,-106.187
112,0,31.4586,-106.186
113,0,31.458,-106.1827
114,0,31.4577,-106.1812
115,0,31.4554,-106.1751
116,0,31.455,-106.1744
117,0,31.4385,-106.1586
118,0,31.4311,-106.1441
119,0,31.4309,-106.1437
120,0,31.4299,-106.1419
121,0,31.4288,-106.1397
122,0,31.4265,-106.1352
123,0,31.4257,-106.1333
124,0,31.4252,-106.1324
125,0,31.4252,-106.1321
126,0,31.4244,-106.1299
127,0,31.424,-106.1233
128,0,31.424,-106.1213
129,0,31.4226,-106.1083
130,0,31.4119,-106.0957
131,0,31.4114,-106.0953
132,0,31.4078,-106.0912
133,0,31.4056,-106.0888
134,0,31.4045,-106.0875
135,0,31.4035,-106.0867
136,0,31.4024,-106.0856
137,0,31.4007,-106.0836
138,0,31.3997,-106.0827
139,0,31.3984,-106.0797
140,0,31.3981,-106.0774
141,0,31.3978,-106.0748
142,0,31.3974,-106.0683
143,0,31.3969,-106.0628
144,0,31.3966,-106.0592
145,0,31.3965,-106.0569
146,0,31.396,-106.0506
147,0,31.3958,-106.0473
148,0,31.3956,-106.0437
149,0,31.3953,-106.0399
150,0,31.3954,-106.0392
151,0,31.3952,-106.0364
152,0,31.3949,-106.034
153,0,31.3944,-106.0286
154,0,31.3941,-106.0246
155,0,31.3936,-106.0177
156,0,31.3932,-106.0115
157,0,31.3927,-106.0048
158,0,31.3666,-105.9715
159,0,31.3665,-105.9708
160,0,31.3657,-105.9699
161,0,31.3655,-105.9658
162,0,31.3653,-105.9622
163,0,31.3641,-105.9535
164,0,31.3521,-105.9453
165,0,31.3521,-105.9453
166,0,31.3405,-105.9479
167,0,31.3235,-105.9402
168,0,31.3217,-105.9395
169,0,31.3213,-105.9392
170,0,31.3189,-105.9381
171,0,31.3182,-105.9378
172,0,31.3175,-105.9369
173,0,31.3126,-105.9319
174,0,31.3124,-105.9159
175,0,31.3125,-105.9145
176,0,31.3124,-105.9096
177,0,31.3123,-105.9077
178,0,31.302,-105.9009
179,0,31.2923,-105.896
180,0,31.2904,-105.8936
181,0,31.2897,-105.8919
182,0,31.2898,-105.889
183,0,31.2902,-105.8859
184,0,31.2897,-105.8714
185,0,31.2888,-105.8695
186,0,31.2685,-105.8518
187,0,31.2651,-105.8502
188,0,31.2552,-105.8422
189,0,31.2507,-105.8388
190,0,31.2489,-105.8371
191,0,31.2475,-105.8357
192,0,31.2457,-105.8342
193,0,31.2387,-105.8268
194,0,31.2329,-105.8209
195,0,31.2207,-105.8103
196,0,31.2207,-105.8103
197,0,31.2207,-105.8103
198,0,31.213,-105.8035
199,0,31.2046,-105.7965
200,0,31.2037,-105.7954
201,0,31.2031,-105.7949
202,0,31.203,-105.7947
203,0,31.2017,-105.7934
204,0,31.2008,-105.7915
205,0,31.1999,-105.7882
206,0,31.1996,-105.7866
207,0,31.1985,-105.7841
208,0,31.1984,-105.7839
209,0,31.1976,-105.7831
210,0,31.1864,-105.7793
211,0,31.1835,-105.7798
212,0,31.1813,-105.779
213,0,31.1788,-105.7776
